,Companies,Jobs,Locations,Easy_Apply,Rating,Summary
48,Dataiku,Data Science Pod Leader,"Denver, CO",Not Easy Apply,, Dataiku’s Data Science team is responsible for delivering on that promise. Understanding of relational data structures and SQL. Bonus Points for any of these:
49,Valen Analytics,Data Scientist,"Denver, CO",Not Easy Apply,, Effectively represent the Data Science group in a collaborative environment to execute on company goals. Data visualization software and tools.
50,Cloud Agronomics,Machine Learning Scientist,"Boulder, CO",Easy Apply,, Experience working with remote sensing and/or geospatial data. Leverage cloud-based technologies to collate and pre-process model input data.
51,Aegis Premier Technologies,Data Scientist,"Westminster, CO",Easy Apply,," Data science: 2 years (Required). The Data Scientist will help us design, create and deliver products driven from vast consumer data resources."
52,Horizontal,Python Data Engineer,"Boulder, CO",Easy Apply,," As a data engineer, your general responsibilities will include bolting together the core components of our platform that allow us to interact with utility…"
53,PHOENIX,Sr Business Analyst / Data Scientist,"Denver, CO",Easy Apply,, See the data “forest for the trees” and help identify connections between existing data sets and holes that could be filled by new analytics and data sets.
54,xentity corporation,Data Analyst,"Denver, CO",Easy Apply,4.6," Could pass ad-hoc technical and whiteboard test given various data ETL and other patterns of real-time, large data, data cleanup, etc. scenarios."
55,Digital Partners,Data Analyst,"Denver, CO",Not Easy Apply,, Bachelor’s or master’s degree in applied mathematics or data science. Ability to use advanced techniques to handle big data with structured and unstructured…
56,Perspecta,Jr. Data Scientist,"Loveland, CO",Not Easy Apply,3.3," Strong skills in data manipulation, cleaning and exploratory analysis. Perspecta is currently seeking candidates for a Jr. Data Scientist."
57,Ezoic,Data Scientist - Relocate to Carlsbad,United States,Easy Apply,5.0, Proactively perform data exploration on user behavior and website performance to discover future testing opportunities.
58,CBRE,Lead Data Center Building Engineer,"Boulder, CO",Not Easy Apply,3.8, Supervise and direct Technical Team staff on shift and monitor performance of assigned responsibilities. Perform and/or direct the performance of all Technical…
59,Valen Analytics,Data Scientist,"Denver, CO",Not Easy Apply,, Effectively represent the Data Science group in a collaborative environment to execute on company goals. Data visualization software and tools.
60,Avero,Data Science Modeler,"Boulder, CO",Not Easy Apply,2.6," As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team."
61,UPMC,Director Integrated Data Science,"Loveland, CO",Not Easy Apply,3.7," Demonstrated knowledge of programming expertise necessary to support data modeling. Demonstrated knowledge of advanced modeling techniques, including data…"
62,Horizontal,Data Scientist,"Broomfield, CO",Not Easy Apply,," Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth…"
63,PHOENIX,Sr Business Analyst / Data Scientist,"Denver, CO",Easy Apply,, See the data “forest for the trees” and help identify connections between existing data sets and holes that could be filled by new analytics and data sets.
64,Twitter,"Software Engineer - Machine Learning Data and Observability, Cortex","Boulder, CO",Not Easy Apply,4.1, Instrumenting data anomalies in production model systems. Our efforts affect every other product in Cortex in an effort to make our users able to understand…
65,Medtronic,Principal Data Science Engineer,"Boulder, CO",Not Easy Apply,3.9," The Principal Data Science Engineer will focus on database development and integration, acting as a data creator and curator to support the data consumers."
66,CACI,Data Scientist/Researcher* (Up to 25% Profit Sharing Benefit!),"Denver, CO",Not Easy Apply,3.9," Responsible for design analysis, problem solving/trouble shooting, determining and implementing solutions to a variety of challenging data science problems."
67,Tax Guard,Data Scientist,"Boulder, CO",Easy Apply,, Ensure alignment of Data Science initiatives with Company objectives. Translate data science terminology and opportunities into product requirements.
68,GutCheck,Research Science Analyst,"Denver, CO",Easy Apply,," Apply (or grow, if necessary) your other data science knowledge (e.g., programming, machine learning, simulation, algorithms, data visualization) to the…"
69,GutCheck,Associate Research Science Analyst,"Denver, CO",Easy Apply,," Apply (or grow, if necessary) your other data science knowledge (e.g., programming, machine learning, simulation, algorithms, data visualization) to the…"
70,xentity corporation,GIS Analyst,"Denver, CO",Easy Apply,4.6," We are looking for GIS-specific data analysts , data wranglers, data scientists with excellent leadership, technical, and subject matter expertise qualities."
71,Cake,Data Engineer,"Denver, CO",Easy Apply,4.4," As a member of the Cake Data Science Team you will be responsible for data management tasks including design, development, and data security in a Google Cloud…"
72,Pinnacol Assurance,Data Engineer,"Denver, CO",Easy Apply,4.1," As a member of the Cake Data Science Team you will be responsible for data management tasks including design, development, and data security in a Google Cloud…"
73,Ibotta,Decision Scientist - Data & Media,"Denver, CO",Easy Apply,3.5, Strong SQL and proven data wrangling skills. Become the go-to expert around client data questions and requests. Work to enhance and automate current processes.
74,Decentrix,DATA SCIENTIST,"Denver, CO",Not Easy Apply,," Advanced degree (Masters/PhD) in business analytics, data science, computer science, statistics, or an equivalent quantitative and technical discipline."
75,CitiusTech,Data Scientist,"Denver, CO",Easy Apply,3.9," Knowledge of databases, data modeling, data normalization etc. is a must. 7-10 years of experience in Data Analysis. Exposure to tools – SPSS, SAS, R, Python."
76,Rocky Mountain Institute,Data Scientist (Senior Associate) - Industry Program,"Boulder, CO",Easy Apply,4.7," An undergraduate degree in a quantitative subject such as computer science, mathematics, physics, statistics, or data science, and a strong track record of…"
77,AdAction Interactive,Product Analyst,"Denver, CO",Easy Apply,4.5, Own and perform analytics and reporting as it pertains to product in collaboration with the Data Science team. Understand product vision and strategy.
78,"Amazon.com Services, Inc.",Software Engineer - Big Data,"Boulder, CO",Not Easy Apply,3.6," Computer Science fundamentals in data structures. Computer Science fundamentals in object-oriented design. Computer Science fundamentals in algorithm design,…"
79,ICF,Data Engineer,"Golden, CO",Not Easy Apply,3.5," Perform hands on data research to provide insights and uncover potential data issues. Design and code workflows, create database releases, and optimize…"
80,Tucows,Data Center Engineer,"Centennial, CO",Not Easy Apply,2.2," Develop and execute detailed data center relocation, consolidation and expansion project plans. Develop detailed data center standards and associated…"
81,"ArcherDX, INC.",Software Developer/Data Engineer (ADX-98-19),"Boulder, CO",Not Easy Apply,," Become familiar with and employ industry-leading data standards, striving for findable, accessible, interoperable, and reusable data."
82,Sense Corp,Snowflake Data Scientist,Colorado,Easy Apply,3.6," Expertise in R or Python (including importing/exporting data, data wrangling/transformations, model building, and data visualization)."
83,Crocs,Sr. Data Engineer,"Broomfield, CO",Not Easy Apply,3.7," Interest and desire in the area of data science and machine learning. Crocs is seeking a Senior Data Engineer to develop, test, and maintain data pipelines and…"
84,ShaleApps,Data Scientist – Logistics Optimization Algorithms,"Denver, CO",Easy Apply,3.3," You will get to work directly with our data science driven CEO, and a very strong team of data scientists and software engineers in defining the frontier of…"
85,CACI,"Front-End, Back-End, Fullstack Developers & Data Scientist / Researchers - Cleared OR CLEARABLE (Up to 25% Profit Sharing Benefit!)","Denver, CO",Not Easy Apply,3.9," Bachelor's degree in Computer Science or a related major. We are seeking Cleared or clearable Front-End, Back-End, Fullstack Developers & Data Scientist…"
86,JP Morgan Chase,Data Center Operations Engineer II,"Denver, CO",Not Easy Apply,3.9," As a Data Center Operations Engineer II (Associate), your mission is to support the day-to-day technology operations of JPMorgan Chase mission critical data…"
87,Xavient Information Systems,Sr. Software Engineer/ Data Engineer,"Greenwood Village, CO",Easy Apply,3.6," Deploy Enterprise data-oriented solutions leveraging Data Warehouse, Big Data and Machine Learning frameworks. Job title: Sr. Software Engineer/ Data Engineer*."
88,Honey,Senior Data Scientist,"Boulder, CO",Easy Apply,3.7," Experience with data science workflow, from data cleaning and EDA, to feature engineering and model building, on real-world business datasets."
89,Josh.ai,Machine Learning/AI Engineer,"Denver, CO",Easy Apply,, Four year college degree or equivalent in Computer Science. What we are looking for: Talented software engineers with a passion for innovation and problem…
90,Vertafore,Sr. Data Scientist,"Denver, CO",Not Easy Apply,3.2," As a data scientist at Vertafore, you will be responsible for finding signals in complex and industry-unique data sets, developing innovative data science…"
91,OneDigital,Data Scientist,"Denver, CO",Not Easy Apply,3.4, The Data Scientist will help the company interpret and manage data and solve complex problems using expertise in a variety of data niches.
92,Booz Allen Hamilton,"Data Scientist, Senior","Denver, CO",Not Easy Apply,3.9," Knowledge of data science tools and concepts. As a data scientist, you can turn these complex data sets into useful information to solve global challenges."
93,"Terumo BCT, Inc.",Data Scientist,"Lakewood, CO",Not Easy Apply,3.5," Applied understanding of data science process, ETL, data enrichment, and data discovery processes. Exposure to/ understanding of data architecture, warehouses…"
94,JumpCloud,Data Analyst - Sales & Marketing,"Louisville, CO",Easy Apply,, Demonstrated experience communicating the results of complex business intelligence or data science projects to non-technical business stakeholders.
95,Insurity,Data Engineer,"Denver, CO",Not Easy Apply,2.9, Troubleshoot basic data and data engineering issues. Develop technical solutions to improve data and data usage. Perform data cleansing and validation.
96,GHX,US Contractor - Data Engineer (Big Data),"Louisville, CO",Not Easy Apply,3.3, We are looking for an Experienced Data Engineer for a 6-month contract (possibility to extend or convert to FTE) to join our new Data Organization.
97,Cognizant Technology Solutions,Data Center Engineer,"Denver, CO",Not Easy Apply,3.9," Enforce Data Center policies, guidelines, standards and procedures to keep the Data Center clean and organized while maintaining its showcase status."
98,Proofpoint,Software Engineer (Data),"Broomfield, CO",Not Easy Apply,3.9, Experience working with both structured and unstructured data sets. Bachelor Degree or higher in Computer Science or relevant Engineering/Science discipline.
99,Kiewit Corporation,Analytics Engineer - Kiewit Data Services,"Denver, CO",Not Easy Apply,3.8," You will interact with business stakeholders, data analysts, and IT resources, working to standardize our data and make this data more easily accessible."
100,SolSpec,Data Engineer,"Lakewood, CO",Easy Apply,," As such, SolSpec is searching for a Data Engineer that is well-versed in application development, integration, and familiar with performance optimization."
101,Valen Analytics,Data Engineer,"Denver, CO",Easy Apply,," As a Data Engineer, you will work with customers, Valen team members, and 3rd party data providers, to develop, maintain, and enhance our data engineering…"
102,Nutrien Ag Solutions,Senior Data Scientist,"Loveland, CO",Not Easy Apply,3.5," Masters degree (PhD preferred) in a quantitative discipline such as computer science, statistics, data science, mathematics, economics or equivalent combination…"
103,Oracle,Data Scientist Snr Manager,"Broomfield, CO",Not Easy Apply,3.8, As a Senior Manager of Data Science you’ll be managing the implemention cutting edge machine learning and high performance computing methodologies at scale.
104,Slalom Consulting,Practice Area Lead - Machine Learning - Data & Analytics,"Denver, CO",Not Easy Apply,3.7," Expert in cloud-based engineering, data science, and agile delivery. Slalom Build is a highly-scalable, high-velocity technology group with a passion for proven…"
105,"Blue Moon Digital, Inc.",BI Analyst,"Denver, CO",Easy Apply,, We are data nerds with marketing souls! Develop engaging and compelling data visualizations. Strong knowledge and application of data literacy.
106,Booz Allen Hamilton,"Data Analyst, Mid","Buckley AFB, CO",Not Easy Apply,3.9, 3+ years of experience as a data analyst or data scientist. Ability to manipulate and exploit data from structured and unstructured data sources.
107,BPMLinks,Artificial Intelligence/Machine Learning Engineer,"Denver, CO",Not Easy Apply,," Awareness or Experience with big data tools (Hadoop, HDFS & Spark, Map Reduce). Use machine learning, data mining, predictive modelling & statistical techniques…"
108,Sambasafety,Data Engineer,"Greenwood Village, CO",Easy Apply,3.2, Implement data solutions using scalable cloud-based data services and pipelines. Keep our data separated and secure across national boundaries through multiple…
109,Western Union,Data Engineer,"Denver, CO",Not Easy Apply,3.9, Join Western Union as a Data Engineer! You will provide technical data and system support to the Global Compliance Risk Modeling Team.
110,National Renewable Energy Laboratory,Postdoctoral Researcher - Data Science for Materials,"Golden, CO",Not Easy Apply,3.8," Postdoctoral Researcher - Data Science for Materials. The Data, Analysis and Visualization Group in the NREL Computational Science Center has an opening for a…"
111,Quotient Technology Inc.,Strategy and Insights Analyst,"Denver, CO",Not Easy Apply,, Analyze multiple data sets including proprietary first and second party data as well as syndicated data to develop use cases for clients.
112,BOEING,Operations Research Analyst 3,"Englewood, CO",Not Easy Apply,4.0," 2+ years Operations Research, Data Scientist or related experience, and an advanced degree in in Operations Research, Data Science, or related disciplines."
113,"Amazon Data Services, Inc.",Data Scientist,"Denver, CO",Not Easy Apply,3.6," You will be responsible for build data science prototypes that optimize our power and thermal infrastructure, working across AWS to solve data mapping and…"
114,Ezoic,Data Scientist - Relocate to Carlsbad,United States,Easy Apply,5.0, Proactively perform data exploration on user behavior and website performance to discover future testing opportunities.
115,Willis Towers Watson,Data Scientist,"Denver, CO",Not Easy Apply,3.7," University bachelor’s degree in data science, data analysis, statistics, applied mathematics, computer science, engineering, or any other related discipline;…"
116,CBRE,Lead Data Center Building Engineer,"Boulder, CO",Not Easy Apply,3.8, Supervise and direct Technical Team staff on shift and monitor performance of assigned responsibilities. Perform and/or direct the performance of all Technical…
117,Valen Analytics,Data Engineer,"Denver, CO",Not Easy Apply,, Troubleshoot basic data and data engineering issues. Develop technical solutions to improve data and data usage. Perform data cleansing and validation.
118,Avero,Data Science Modeler,"Boulder, CO",Not Easy Apply,2.6," As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team."
119,PHOENIX,Sr Business Analyst / Data Scientist,"Denver, CO",Easy Apply,, See the data “forest for the trees” and help identify connections between existing data sets and holes that could be filled by new analytics and data sets.
120,Valen Analytics,Data Scientist,"Denver, CO",Not Easy Apply,, Effectively represent the Data Science group in a collaborative environment to execute on company goals. Data visualization software and tools.
121,UPMC,Director Integrated Data Science,"Loveland, CO",Not Easy Apply,3.7," Demonstrated knowledge of programming expertise necessary to support data modeling. Demonstrated knowledge of advanced modeling techniques, including data…"
122,Horizontal,Data Scientist,"Broomfield, CO",Not Easy Apply,," Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth…"
123,Willis Towers Watson,Data Scientist,"Denver, CO",Not Easy Apply,3.7," University bachelor’s degree in data science, data analysis, statistics, applied mathematics, computer science, engineering, or any other related discipline;…"
124,Valen Analytics,Data Engineer,"Denver, CO",Not Easy Apply,, Troubleshoot basic data and data engineering issues. Develop technical solutions to improve data and data usage. Perform data cleansing and validation.
125,Honey,Senior Data Scientist,"Boulder, CO",Easy Apply,3.7," Experience with data science workflow, from data cleaning and EDA, to feature engineering and model building, on real-world business datasets."
126,SoundHound Inc.,"Research Engineer, Machine Learning","Boulder, CO",Not Easy Apply,," Experience handling large data corpora. MS / PhD in Computer Science, Electrical Engineering, Statistics or equivalent. 2+ years of industry experience."
127,"Amazon.com Services, Inc.",Sr. Data Scientist,"Denver, CO",Not Easy Apply,3.6," Strong communication and data presentation skills. BS in computer science, engineering, or related technical/scientific field."
128,Cake,Data Engineer,"Denver, CO",Easy Apply,4.4," As a member of the Cake Data Science Team you will be responsible for data management tasks including design, development, and data security in a Google Cloud…"
129,"ArcherDX, INC.",Software Developer/Data Engineer (ADX-98-19),"Boulder, CO",Not Easy Apply,," Become familiar with and employ industry-leading data standards, striving for findable, accessible, interoperable, and reusable data."
130,PHOENIX,Sr Business Analyst / Data Scientist,"Denver, CO",Easy Apply,, See the data “forest for the trees” and help identify connections between existing data sets and holes that could be filled by new analytics and data sets.
131,"Amazon.com Services, Inc.",Sr. Data Engineer - Analytics,"Boulder, CO",Not Easy Apply,3.6," Experience with data modeling, data warehousing, and building ETL pipelines. Proven track record of successful communication of data infrastructure, data models…"
132,ICR,Data Scientist,"Denver, CO",Not Easy Apply,3.6," Masters Degree or PhD in Mathematics, Physics, Statistics, Computer Science, or Data Science. Proficient in Python, R, Matlab, Lua, or other data science…"
133,Sambasafety,Data Engineer,"Greenwood Village, CO",Easy Apply,3.2, Implement data solutions using scalable cloud-based data services and pipelines. Keep our data separated and secure across national boundaries through multiple…
134,Nutrien Ag Solutions,Reporting/Business Intelligence Analyst,"Loveland, CO",Not Easy Apply,3.5," Merges disparate data sources to form cross-application reports (eg pricing data, sales data and customer data). This job will remain posted until filled."
135,Compassion International,Principal Data Scientist,"Colorado Springs, CO",Not Easy Apply,4.3," Fifteen years Professional experience working in market research, statistical analysis, business intelligence or similar field, involving data modeling, data…"
136,Pinnacol Assurance,Data Engineer,"Denver, CO",Easy Apply,4.1," As a member of the Cake Data Science Team you will be responsible for data management tasks including design, development, and data security in a Google Cloud…"
137,Insurity,Data Engineer,"Denver, CO",Not Easy Apply,2.9, Troubleshoot basic data and data engineering issues. Develop technical solutions to improve data and data usage. Perform data cleansing and validation.
138,University of Colorado Boulder,CIRES/NOAA PSD Post-Doc in Machine Learning for Improved Weather Forecasts,"Boulder, CO",Not Easy Apply,4.2," Experience in ensemble forecasting, data assimilation, and machine learning. The Postdoc will work with world leaders in data assimilation and ensemble…"
139,InVision,Senior Data Scientist - Marketing,"Denver, CO",Easy Apply,4.4," You will be embedded in our very data driven and data hungry Marketing to identify key metrics, conduct deep and rigorous analysis, and deliver novel insights…"
140,Accenture,Google Data Engineer,"Denver, CO",Not Easy Apply,4.0," Minimum pf 3 years of experience in developing data ingestion, data processing and analytical pipelines for big data, relational databases, NoSQL, data lake and…"
141,Decentrix,DATA ENGINEER,"Denver, CO",Not Easy Apply,, The experience in the design of data storage and data transformation processes to leverage and analyze complex data relationships.
142,Accenture,Data Engineer Consultant,"Denver, CO",Not Easy Apply,4.0," Gather, engineer, and prepare data to help clients make smarter decisions. Building and delivering Google Cloud Platform (GCP) infrastructure and solutions to…"
143,Deloitte,Senior Data Scientist,"Denver, CO",Not Easy Apply,4.0, Experience with end-to-end Data Science solutions such as H2O Driverless or Data Robot. A deep interest in Data Science and AI. What you will be doing.
144,Rocky Mountain Institute,Data Scientist (Senior Associate) - Industry Program,"Basalt, CO",Easy Apply,4.7," An undergraduate degree in a quantitative subject such as computer science, mathematics, physics, statistics, or data science, and a strong track record of…"
145,Inscripta,"Senior Applications Scientist, Bioinformatics/Data Science","Boulder, CO",Not Easy Apply,3.0," Expertise in probability & statistics, machine learning, high dimensional and high throughput data analysis and fundamentals of data science, including data…"
146,SolSpec,Data Engineer,"Lakewood, CO",Easy Apply,," As such, SolSpec is searching for a Data Engineer that is well-versed in application development, integration, and familiar with performance optimization."
147,SoundHound Inc.,Machine Learning Engineer - Language Modeling,"Boulder, CO",Not Easy Apply,, BS/MS in Computer Science or equivalent. This is a fantastic opportunity to join the core group working on Speech Recognition at SoundHound.
148,Pearson,Data Visualization Engineer - Machine Learning,"Centennial, CO",Not Easy Apply,3.8," *We are looking for a data visualization engineer with: **. + **B.S. in Computer Science, Math or Statistics, or related area (or equivalent experience).**."
149,NASDAQ,Software Engineer with Data Experience,"Lakewood, CO",Easy Apply,3.8, Some experience with Hadoop ecosystem OR cloud vendor data warehouse or data lake technologies. Big Data: 3 years (Required). Big Data Experience – 1+ years.
150,Astra LLC,Data Scientist / AI Specialist,"Louisville, CO",Easy Apply,," Applicants must be well versed in building and refining neural networks, developing machine learning models, application of cloud-based computing and data…"
151,Pearson,Senior Data Scientist,"Boulder, CO",Not Easy Apply,3.8," + Experience with modern data mining techniques and technologies e.g. information retrieval, text analytics, with special emphasis on techniques at all levels…"
152,BryterCX,Sr. Data Engineer,"Greenwood Village, CO",Easy Apply,," Experience with analytics, time series data, optimization, and creating pipelines for analytics tools and data science is required."
153,SonderMind,Data Engineer,"Denver, CO",Easy Apply,, The Data Engineer will utilize modern principles and methodologies to maintain our data warehouse and making sure that all data relevant to our core business is…
154,Booz Allen Hamilton,"Data Modeler Intelligence Analyst, Mid","Buckley AFB, CO",Not Easy Apply,3.9, Ability to collaborate with intelligence analysts and collection managers to innovate and develop data science approaches to enable mission operations.
155,Josh.ai,Machine Learning/AI Engineer,"Denver, CO",Easy Apply,, Four year college degree or equivalent in Computer Science. What we are looking for: Talented software engineers with a passion for innovation and problem…
