,Companies,Jobs,Locations,Easy_Apply,Rating,Summary
41,ASSURANCE,Data Scientist,"Seattle, WA",Not Easy Apply,4.2," Experience and working knowledge of data infrastructure, pipelines, and advanced data manipulation. Our team uses a variety of data mining and analysis methods,…"
42,Microsoft,Data & Applied Scientist,"Bellevue, WA",Not Easy Apply,4.2," 2+ years of hands-on experience with data science, big data experience and analytics in a business context. Drive innovation leveraging Data Science and Machine…"
43,HCL Americas,Data Scientist (Entry level),"Redmond, WA",Easy Apply,2.7," Data Scientist must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models…"
44,Convoy,Program Manager - Data Science and Design,"Seattle, WA",Not Easy Apply,3.9, Enhance the external visibility of Convoy's Data Science and Design teams as exciting and supportive. Design and manage programs for Convoy's Data Science and…
45,Mason America,Data Scientist,"Seattle, WA",Not Easy Apply,, We are looking for our first hybrid data science and engineering hire to help define and create the foundational data warehouse that will seed our data science…
46,Outreach,Data Science Research Internship,"Seattle, WA",Not Easy Apply,, 3+ years experience in Data Science. The mission of the Data Science team is to accelerate the success of our internal and external customers through…
47,Foverobrains,Data analyst,"Redmond, WA",Easy Apply,," Bachelor’s degree required in quantitative discipline such as Statistics, Economics, Finance, Data Science, etc. Expert proficiency in MS Excel required."
48,Knowesis Inc.,Data Scientist I,"Lewis McChord, WA",Easy Apply,4.3," Education: Bachelor’s Degree in quantitative science, social science or related discipline (Bachelor’s Degree in Sports Science with minor in a quantitative…"
49,Deloitte,"Lead, People Analytics-Data Science","Seattle, WA",Not Easy Apply,4.0," Locates and extract data from new data sources, finds new uses for existing data sources, structures and drives new data collection efforts, and provides…"
50,Zillow Group,Data Scientist II - Agent Analytics,"Seattle, WA",Not Easy Apply,3.8," An undergraduate or Master's degree in a quantitative field (e.g. science, engineering, economics, finance, statistics, or similar) or demonstrable experience…"
51,Expedia.com,Data Scientist,"Seattle, WA",Not Easy Apply,3.9," Solve a broad range of high-impact, complex problems using some of the latest Data Science techniques. Stay up to date with current Data Science techniques and…"
52,Convoy,Data Scientist II - Shipper Experience,"Seattle, WA",Not Easy Apply,3.9," You will be responsible for defining core business logic in our data warehouse, developing insights to drive product decisions, and building data science models…"
53,BOEING,Fabrication Production Profitability Data Analyst,"Auburn, WA",Not Easy Apply,4.0," Our team is a cross functional team made up of Finance, IE, Quality, Manufacturing, & Data Science professionals all working together to turn data into…"
54,red violet,Data Scientist,"Seattle, WA",Easy Apply,2.0, Develop ETL systems and data pipelines to interface new data assets with our proprietary distributed data processing platform.
55,Microsoft,Research Data Science Engineer,"Redmond, WA",Not Easy Apply,4.2," Microsoft Research seeks research-oriented candidates in the areas of data science, software engineering, compilers/runtime, high-performance computing, and…"
56,King County,Data Architect-Engineer,"Seattle, WA",Not Easy Apply,4.1," Cloud based data architecture experience in developing and implementing new Azure cloud based data warehouses, data marts, data lakes etc."
57,"Amazon.com Services, Inc.",Data Scientist,"Seattle, WA",Not Easy Apply,3.6," We are looking for a strong problem-solver, with excellent analytical abilities and a strong background in Data Science. The ideal candidate will be:"
58,PayScale,Data Scientist,"Seattle, WA",Easy Apply,3.8," The Data Science team partners closely with data engineers, product managers, and other external partners to design and develop the machine learning…"
59,red violet,Data Scientist,"Seattle, WA",Easy Apply,2.0, Develop ETL systems and data pipelines to interface new data assets with our proprietary distributed data processing platform.
60,Triplebyte,Machine Learning Engineer,"Seattle, WA",Easy Apply,," For any company building software, this is crucial for success. Fields your work will touch on*. We have a novel dataset of candidate profiles and interview…"
61,Seen by Indeed,Data Engineer,"Seattle, WA",Easy Apply,,
62,Big Fish Games,Senior Data Analyst,"Seattle, WA",Not Easy Apply,3.6," The Data Science team is looking for a talented Lead Data Analyst to extract insights from player data, build visualizations that tell a story, partner with the…"
63,Seen by Indeed,Data Warehouse Engineer,"Seattle, WA",Not Easy Apply,,
64,Starbucks,"undergraduate or graduate intern, App Developer/Data Scientist – DSETMITIOTI, Summer 2020 - Seattle, WA","Seattle, WA",Not Easy Apply,4.0," Preference for: Computer Science, Data Science majors. Data Science skills – statistics, machine learning, data collection and analysis."
65,Neal Analytics,Jr Data Analyst,"Redmond, WA",Easy Apply,3.0," Responsible for data de-duplication (matching and merging data), data cleansing (matching, linking, updating records, such as organization records, in batch and…"
66,FlyHomes,Data Scientist,"Seattle, WA",Easy Apply,," Passion for building solid data infrastructure. Identify, research, and analyze new data sources to improve model accuracy. Innovation is in our DNA."
67,Adobe,Data Scientist,"Seattle, WA",Not Easy Apply,4.3, Partner with data engineers to optimize scheduled jobs for regular reporting and build custom data sets for tailored needs. What You'll Need to Succeed:
68,HCL Americas,Data Scientist (Entry level),"Redmond, WA",Easy Apply,2.7," Data Scientist must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models…"
69,University of Washington,Postdoctoral Scholar Imaging Data Science Radiation Oncology,"Seattle, WA",Not Easy Apply,4.1," Title: Postdoctoral Scholar Imaging Data Science Radiation Oncology. Ph.D. in Medical Physics, Physics, Computer Science, Data Science, Bioinformatics,…"
70,TenPoint7,Data Scientist,"Seattle, WA",Not Easy Apply,, 2-3 years industry experience with a demonstrable track record of leveraging Data Science techniques on high-volume & high dimensionality of data that made a…
71,Expedia.com,Data Scientist,"Seattle, WA",Not Easy Apply,3.9," Solve a broad range of high-impact, complex problems using some of the latest Data Science techniques. Stay up to date with current Data Science techniques and…"
72,Smartsheet,Data Scientist,"Bellevue, WA",Easy Apply,4.6," This full time position reports to the Data Science Manager and is based in Smartsheet's corporate offices in Bellevue, WA."
73,QVC,Data Scientist,"Seattle, WA",Not Easy Apply,3.8, Develops program plans and road maps for Data Science. Highly Preferred: a Master's Degree with a concentration in Data Science / Analytics.
74,Coding Dojo,Data Science Curriculum Designer and Instructor - Bellevue,"Bellevue, WA",Not Easy Apply,4.0," Deliver workshops on data science, data analytics, machine learning, Python, SQL, statistics, probability and data engineering. You are an education fanatic."
75,Microsoft,"Director, Analytics & Data Science","Redmond, WA",Not Easy Apply,4.2," Experience in industry data science (e.g., machine learning, predictive maintenance) preferred. Minimum 8+ years of relevant experience in advanced data…"
76,Hummingbird Scientific,Product Scientist,"Lacey, WA",Not Easy Apply,," Because of these new products, we are looking for to add a Product Application Scientist to expand our Applications/Sales Team, who is responsible for…"
77,Tech Era Inc,Data Analyst,"Seattle, WA",Easy Apply,, Strong interest in Data Science. Acquire data from primary or secondary data sources and maintain databases/data systems. Salary: $45.00 to $50.00 /hour.
78,Zillow Group,Data Scientist II - Agent Analytics,"Seattle, WA",Not Easy Apply,3.8," An undergraduate or Master's degree in a quantitative field (e.g. science, engineering, economics, finance, statistics, or similar) or demonstrable experience…"
79,PayScale,Data Scientist,"Seattle, WA",Easy Apply,3.8," The Data Science team partners closely with data engineers, product managers, and other external partners to design and develop the machine learning…"
80,Indigo Slate,Data Scientist,"Bellevue, WA",Easy Apply,3.1, Must have built production-ready systems for data science (not just PoC). As a data scientist on the team you will be emersed in product development (EXCITING)…
81,Foverobrains,Data analyst,"Redmond, WA",Easy Apply,," Bachelor’s degree required in quantitative discipline such as Statistics, Economics, Finance, Data Science, etc. Expert proficiency in MS Excel required."
82,EagleView,Data Scientist,"Bellevue, WA",Not Easy Apply,2.9," We are looking for talented Data Scientists to join the Data Science & Machine Learning team. Aggregate, clean, and organize data for machine learning…"
83,Nordstrom,Data Analyst 3 - Merch & Digital,"Seattle, WA",Not Easy Apply,3.9," 2+ years of corporate data analysis experience (in the retail industry, preferred). 3+ years of professional experience analyzing complex data, drawing…"
84,VRBO,Data Scientist II,"Seattle, WA",Not Easy Apply,3.9," Work Experience with real-world large data sets, from domain-specific problem understanding, data preparation, travel related data processing, data integration,…"
85,"Amazon.com Services, Inc.","TPM, Machine Learning & Data Science","Seattle, WA",Not Easy Apply,3.6," As a key member on the ML and Data Science team you will partner with a team of experts across the fields of Product Management, Software Development, Data…"
86,Microsoft,Data Scientist II,"Bellevue, WA",Not Easy Apply,4.2," Bachelor’s degree or above in a Computer science, STEM, related engineering or Business-related field with strong emphasis on data analytics."
87,Facebook,Data Science Manager,"Seattle, WA",Not Easy Apply,4.2," Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with…"
88,Mason America,Data Scientist,"Seattle, WA",Not Easy Apply,, We are looking for our first hybrid data science and engineering hire to help define and create the foundational data warehouse that will seed our data science…
89,Starbucks,"data scientist, Global Supply Chain, Advanced Analytics - Seattle, WA","Seattle, WA",Not Easy Apply,4.0," Extracts data from various databases; performs exploratory data analysis, cleanses, massages, and aggregates data. Big data processing techniques, preferred."
90,DocuSign,Data Center Operations Engineer,"Seattle, WA",Not Easy Apply,3.7," Engineering & Tech Ops | Seattle, Washington. DocuSign is seeking Operations Engineer to support our best-in-class, carrier grade service infrastructure."
91,BOEING,Fabrication Production Profitability Data Analyst,"Auburn, WA",Not Easy Apply,4.0," Our team is a cross functional team made up of Finance, IE, Quality, Manufacturing, & Data Science professionals all working together to turn data into…"
92,Zillow,Software Development Engineer- Listing Data,"Seattle, WA",Not Easy Apply,3.8," Develop faster and innovative ways to process data. BS in Computer Science, Engineering, or equivalent experience. In this role, you will:"
93,Convoy,Data Scientist II - Shipper Experience,"Seattle, WA",Not Easy Apply,3.9," You will be responsible for defining core business logic in our data warehouse, developing insights to drive product decisions, and building data science models…"
94,red violet,Data Scientist,"Seattle, WA",Easy Apply,2.0, Develop ETL systems and data pipelines to interface new data assets with our proprietary distributed data processing platform.
95,Facebook,"Data Scientist, Analytics - Ads Manager","Seattle, WA",Not Easy Apply,4.2," Work with data engineers to architect data and modeling pipelines. Plan, and be able to conduct as needed, end-to-end analyses, from data requirement gathering,…"
96,Pacific Northwest National Laboratory,Data Scientist in Artificial Intelligence - Intermediate,"Seattle, WA",Not Easy Apply,4.1, Group: Data Sciences and Analytics. Job Category: Computation and Information Sciences. Data science at the Pacific Northwest National Laboratory (PNNL)…
97,Microsoft,Data & Applied Scientist ll,"Redmond, WA",Not Easy Apply,4.2," As the availability of data and demand for analysis grows, we need a capable data scientist to help stakeholders across the organization better understand user…"
98,Triplebyte,Machine Learning Engineer,"Seattle, WA",Easy Apply,," For any company building software, this is crucial for success. Fields your work will touch on*. We have a novel dataset of candidate profiles and interview…"
99,SAP,SAP Concur - Data Scientist,"Bellevue, WA",Not Easy Apply,4.3," Master’s Degree, or higher, in Data Science, Statistics, Computer Science, Math, or similar quantitative field. Employment Type: Regular Full Time."
100,Pacific Northwest National Laboratory,National Security Analyst - Linguist,"Seattle, WA",Not Easy Apply,4.1," Group: Data Sciences and Analytics. Coursework, knowledge, or experience in one or more of the following is preferred: Quantitative/Statistical analysis; Data…"
101,Indeed,Business Intelligence Analyst,"Seattle, WA",Easy Apply,4.4," 3+ years of Industry experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including…"
102,Amplero,Data Scientist,"Seattle, WA",Easy Apply,, You have a proven track record of applying data science to solve difficult real-world business problems. Able to understand various data structures and common…
103,Oracle,OCI Data Engineer,"Seattle, WA",Not Easy Apply,3.8," Detailed Description and Job Requirements. Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc."
104,"Amazon.com Services, Inc.","Applied Science Intern, Machine Learning","Seattle, WA",Not Easy Apply,3.6, Skilled at data visualization and presentation. Familiar with the core undergraduate curriculum of Computer Science.
105,"Discovery Communications, LLC",Senior Data Scientist,"Bellevue, WA",Not Easy Apply,4.2, Make data science techniques approachable and understandable to non-data scientists. The Senior Data Scientist will be an experienced scientist and leader on…
106,Pacific Northwest National Laboratory,Data Scientist - Intermediate,"Richland, WA",Not Easy Apply,4.1," Experience in domain science, particularly energy, nuclear, materials science. This position is for a Scientist in Data Science and Mathematical Statistics who…"
107,"Amazon.com Services, Inc.","Data Scientist, Advertising","Seattle, WA",Not Easy Apply,3.6," In cases where questions cannot be answered with available data, work with engineers to produce the required data. Depth and breadth in quantitative knowledge."
108,Convoy,Program Manager - Data Science and Design,"Seattle, WA",Not Easy Apply,3.9, Enhance the external visibility of Convoy's Data Science and Design teams as exciting and supportive. Design and manage programs for Convoy's Data Science and…
109,Microsoft,Senior Data Analyst,"Redmond, WA",Not Easy Apply,4.2," Masters or PhD degree in statistics, data science, applied mathematics, computer science, econometrics or a related field, or equivalent alternative education,…"
110,"Amazon.com Services, Inc.","Simulation Engineer, Data Science","Seattle, WA",Not Easy Apply,3.6, Bachelor’s degree in Industrial/ Mechanical/ Process Engineering. Advanced experience in Discrete Event Simulation. Coding in C# and/or any scripting languages.
111,SADA,Data Engineer,"Seattle, WA",Easy Apply,3.9," Engagements vary from being purely consultative to requiring heavy hands-on work and cover a diverse array of domain areas, such as data migrations, data…"
112,"Amazon.com Services, Inc.",Data Scientist - Delphi,"Seattle, WA",Not Easy Apply,3.6, Translating Demand Forecasting business questions and concerns into specific analytical questions that can be answered with available data using statistical and…
113,Tableau,Senior Data Scientist,"Seattle, WA",Not Easy Apply,3.8, We are looking for a Data Scientist to support the development of data science capabilities from within the Office of the CTO.
114,Gee Whiz,Business Intelligence Analyst,"Orondo, WA",Easy Apply,," 2+ years of relevant experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including…"
115,Liberty Mutual Insurance,"Director II, Data Science, GRM Product Design & Modeling Pricing Sophistication","Seattle, WA",Not Easy Apply,3.6, Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.
116,Indeed,Business Intelligence Analyst,"Seattle, WA",Easy Apply,4.4," 3+ years of Industry experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including…"
117,Tredence Inc.,Data Scientist / Data Analytics,"Seattle, WA",Easy Apply,," Data analytics: 3 years (Preferred). We are looking for Data Scientist in Seattle, WA. for our company (Tredence). Hope you are doing well.*."
118,Triplebyte,Machine Learning Engineer,"Seattle, WA",Easy Apply,," For any company building software, this is crucial for success. Fields your work will touch on*. We have a novel dataset of candidate profiles and interview…"
119,Liberty Mutual Insurance,"Director II, Data Science, GRM Product Design & Modeling Pricing Sophistication","Seattle, WA",Not Easy Apply,3.6, Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.
120,Seen by Indeed,Data Engineer,"Seattle, WA",Easy Apply,,
121,Tredence Inc.,Data Scientist / Data Analytics,"Seattle, WA",Easy Apply,," Data analytics: 3 years (Preferred). We are looking for Data Scientist in Seattle, WA. for our company (Tredence). Hope you are doing well.*."
122,Seen by Indeed,Data Warehouse Engineer,"Seattle, WA",Not Easy Apply,,
123,red violet,Data Scientist,"Seattle, WA",Easy Apply,2.0, Develop ETL systems and data pipelines to interface new data assets with our proprietary distributed data processing platform.
124,Big Fish Games,Senior Data Analyst,"Seattle, WA",Not Easy Apply,3.6," The Data Science team is looking for a talented Lead Data Analyst to extract insights from player data, build visualizations that tell a story, partner with the…"
125,Gee Whiz,Business Intelligence Analyst,"Orondo, WA",Easy Apply,," 2+ years of relevant experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including…"
126,Indeed,Business Intelligence Analyst,"Seattle, WA",Easy Apply,4.4," 3+ years of Industry experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including…"
127,Clearwater Paper,Master Data Analyst,"Spokane, WA",Not Easy Apply,3.3," Bachelor's degree preferred in Computer Science, Data Science, Analytics, Information systems or related discipline. Required education and related experience:"
128,Course5 Intelligence,Data Scientist,"Seattle, WA",Easy Apply,," 5+ years' experience in leading Analytics, Data Science or Engineering functions in internet industry. 5+ years' experience in leading Analytics, Data Science…"
129,Mason,Data Scientist,"Seattle, WA",Easy Apply,, We are looking for our first hybrid data science and engineering hire to help define and create the foundational data warehouse that will seed our data science…
130,DocuSign,Data Engineer – Enterprise Data Warehouse,"Seattle, WA",Not Easy Apply,3.7, Data Engineer – Enterprise Data Warehouse. Develop and own ETL Data Pipeline and Data Model solutions for integrating new data sets into the Snowflake…
131,Visa,Lead Data Scientist,"Bellevue, WA",Not Easy Apply,3.9," Technical background in data with deep understanding of issues in multiple areas such as data acquisition and processing, data management, distributed…"
132,Fred Hutchinson Cancer Research Center,Data Scientist I - Computational Immunology,"Seattle, WA",Not Easy Apply,4.2," M.A., M.S. in computational biology, biostatistics, computer science, data science, bioinformatics or a related field."
133,Redfin,Data Science Engineer II (Platforms) - Seattle,"Seattle, WA",Not Easy Apply,3.3," As the Data Science Engineer for the Big Data & Analytics Team, your job is to build resilient and scalable platforms to support pipelines for sanitizing,…"
134,Verto Analytics,Data Engineer,"Seattle, WA",Not Easy Apply,, Lead processing and extraction of data feeds to ensure optimized delivery of behavioral data to clients. Experience building data pipelines using Apache Spark…
135,Zulily,"Manager, Data Science","Seattle, WA",Not Easy Apply,3.2," In addition to being passionate about finding insights in data and using quantitative analysis to answer complex questions, you should have a desire to mentor…"
136,Pacific Northwest National Laboratory,PhD Intern - Data Sciences Graduate Internship,"Richland, WA",Not Easy Apply,4.1," Relevant course work in AI/ML, computer science, data engineering and applied mathematics. The Data Sciences Group seeks PhD interns to actively participate in…"
137,Expedia.com,Sr Data Scientist,"Seattle, WA",Not Easy Apply,3.9," 7+ years industry experience working with live data (data cleaning, data visualization and modeling) and building machine learning models."
138,"Amazon.com Services, Inc.",Data Scientist / Machine Learning - Twitch Prime,"Seattle, WA",Not Easy Apply,3.6," Wield science to improve the value of gaming content for customers! Proficient with technical software concepts of data structures, algorithms, and object…"
139,King County,Data Architect-Engineer,"Seattle, WA",Not Easy Apply,4.1," Cloud based data architecture experience in developing and implementing new Azure cloud based data warehouses, data marts, data lakes etc."
140,Homesite Insurance,Data Analytic Engineer,"Seattle, WA",Not Easy Apply,3.1," Direct the data layer implementation across the platform and website properties. Implement and manage analytics tools (Primarily Google Analytics 360, Google…"
141,"Amazon.com Services, Inc.","Data Scientist, Alexa Shopping NLU","Seattle, WA",Not Easy Apply,3.6," We are seeking a Data Scientist to be part of the NLU science team for Alexa Shopping. 5+ years of experience with machine learning, statistical modeling, data…"
142,Tech Era Inc,Data Analyst/Data Scientist,"Seattle, WA",Easy Apply,, Strong interest in Data Science. Acquire data from primary or secondary data sources and maintain databases/data systems. Data Mining: 4 years (Required).
143,Facebook,Data Engineer,"Seattle, WA",Not Easy Apply,4.2," Collaboration with the Data Center SMEs, Data Scientists, and Program Managers. Deploy inclusive data quality checks to ensure high quality of data."
144,Washington Health Benef,Data and Reporting Analyst,"Olympia, WA",Not Easy Apply,," Bachelor’s degree in business administration, public administration, statistics, computer science, data science, public policy, public health, or closely allied…"
145,Expeditors,Data Engineer,"Seattle, WA",Not Easy Apply,3.6," Knowledge of data management fundamentals and data storage principles. Demonstrated strength in data modeling, ETL development, and data warehousingKnowledge of…"
146,"Strix (USA), Inc",Product Development Scientist,"Seattle, WA",Easy Apply,," Make detailed experimental observations, record and collect data, analyze data and interpret results. Bachelor’s degree in a science or engineering field…"
147,Rational,Data Engineer,"Bellevue, WA",Not Easy Apply,," BS/BA Computer Sciences, Math, Statistics or related field. Understanding of Big Data technologies and solutions (EMR, Hive etc.). Proficient in SQL and Excel."
148,Bitwise INC,Lead Data Analytes /Data Scientist,"Seattle, WA",Easy Apply,3.3, Develop custom data models and algorithms to apply to data sets. Role: Data Analytes Lead/Data Scientist *. Develop processes and tools to monitor and analyze…
149,Microsoft,Security Data Scientist,"Redmond, WA",Not Easy Apply,4.2," A Masters or Ph.D degree with coursework in Statistics, Data Science, Experimentation Design, and Machine Learning is highly desirable. Here's a bit about us."
150,"Accolite, Inc.",Data Engineer – PL /SQL ETL,"Seattle, WA",Not Easy Apply,," Experience in data modeling, data mapping and data architecture. 5+ years of working in a data warehousing / big data environment."
151,Nordstrom,Data Scientist - Corporate Analytics,"Seattle, WA",Not Easy Apply,3.9," 2+ years hands-on work experience in data science or analytics. Design optimization algorithms, working with colleagues to develop and deploy useful data…"
152,DocuSign,Data Warehouse Engineer – Enterprise Data Warehouse,"Seattle, WA",Not Easy Apply,3.7, Develop and own ETL Data Pipeline and Data Model solutions for integrating new data sets into the Snowflake Enterprise Data Warehouse. And that's a good thing.
153,Cadence Preferred LLC,Senior Data Engineer,"Redmond, WA",Easy Apply,," Assist in designing, building, maintaining and improving CSI data platform, including Data Lake, SQL and non-SQL databases and data warehouses, data pipelines…"
154,QVC,Assoc Operations Research Data Scientist (US),"Seattle, WA",Not Easy Apply,3.8, Conducts exploratory data analysis and prepares visualizations summarizing key features of the data. Master’s Degree in Data Science/Analytics preferred.
155,Pokemon Company International,Data Engineer,"Bellevue, WA",Not Easy Apply,2.5," 5+ years experience in data modeling, ETL, and data warehousing. Build and deliver high quality data architecture design and development of data warehouse…"
156,Facebook,"Data Science Manager, Community Integrity - Objectionable Content","Seattle, WA",Not Easy Apply,4.2," Experience with large data sets and distributed computing (Hive/Hadoop). Bachelor Degree in Computer Science, Math, Physics, Engineering, or related…"
