,Job_Title,Company,Location,Number_of_Applicants,Description
86,Data Scientist,Amazon,"Seattle, WA, US",40 applicants,"DescriptionAmazon seeks a results-oriented Data Scientist to identify strategic initiatives that will inform the direction of the Amazon FreeTime product.Amazon FreeTime brings together all types of content that kids and parents love including books, games, Audible books, educational apps, and videos. It provides peace of mind for parents with parental controls and a world of fun for kids to choose from thousands of the most popular titles and age-appropriate content. Here's more information: http://www.amazon.com/freetimeA qualified candidate must have demonstrated ability to manage medium-scale modeling projects, identify data requirements and build methodology and tools that are statistically grounded. This candidate will have a wide range of basic quantitative skills to investigate problems quickly and identify next steps required to reach an optimal solution. The ideal candidate will have experience collaborating with team members and across organizational boundaries. For this candidate, learning new tools and supporting the team are passions; new methods and technologies are accessible and sought out. Testing theories and using results to drive future work is natural.Basic Qualifications Bachelor's degree in Statistics, Applied Math, Operations Research, Economics, or a related quantitative field with 5 years of working experience as a Data Scientist Proficient with data analysis and modeling software such as Spark, R, etc. Proficient with using scripting language such as Python and data manipulation/analysis libraries such as Scikit-learn and Pandas for analyzing and modeling data. Experienced in using multiple data science methodologies to solve complex business problems. Experienced in handling large data sets using SQL and databases in a business environment. Excellent verbal and written communication. Strong troubleshooting and problem solving skills. Thrive in a fast-paced, innovative environment.Preferred Qualifications Master's degree in Statistics, Applied Math, Operations Research, Economics, or a related quantitative field with at least 2 years of working experience as a Data Scientist. Experienced in writing academic-styled papers for presenting both the methodologies used and results for data science projects.Company - Amazon.com Services, Inc.Job ID: A932869"
87,"Director, Personalization Data Science",Online.nl,"Seattle, WA, US",Be among the first 25 applicants,"THE OPPORTUNITY ÂA leading consumer technology brand seeks a Head of Personalization Data Science to build a new team focused on personalization and matchmaking across global digital touch points, including search, homepage, and mobile. The ideal candidate is passionate about creating personalized experiences and leveraging data to deepen the intimacy between brand and consumer. This is a senior leadership role and will help set the trajectory for their next frontier of innovation. ÂRESPONSIBILTIES ÂLead and strengthen a team of data scientists, analysts and data engineers who inform strategy, investment, and design and build solutions for machine learning, personalization, recommendations, orchestration and ranking. Drive the team forward to ensure we operate a state-of-the-art personalization technology stack Establish a universal standard, process, and repository of predictive and machine learning models to support team documentation and organizational sharing. Lead and own the data science and machine learning technology strategy, articulating needs, opportunities, and plans to the lead team Establish a universal standard, process, and repository of predictive and machine learning models to support team documentation and organizational sharing. Incorporate advances in research into our solutions to ensure we take full advantage of the best science available Build and manage a team of the very top talent - the brightest minds in analytics and data engineering with the ability to not only keep up with, but also pioneer, in this space. Work with internal partners to define requirements, guide product and architectural vision, and prioritize efforts Develop new techniques and data that will enable answering previously unanswerable and new questions. ÂÂQUALIFICATIONS: ÂAn advanced degree in a quantitative field - computer science, statistics, operations research, economics, etc. 10+ years of experience in Analytics/Data Science/Data Engineering or Quantitative fields, Experience with big data technologies: Hadoop, Hive, HBase Spark etc. Experience in using Machine Learning algorithms like Logistic Regression, Gradient Boosted Decision Tress, Deep Neural Networks, etc. and with ML toolkits/frameworks like TensorFlow on-premise and in the Cloud Expert theoretical knowledge of machine learning modeling techniques and advanced applied skills in developing predictive targeting models within distributed computing platforms such as Hadoop, AWS, Azure, GCP using tools like Spark, Scala, SAS, R, Python, Bayesian, H2O, Storm, Yarn, Kafka, Strong interpersonal skills-an outstanding ability build relationships, influence and navigate within a complex organization. Experience of partnering with technology or data engineering team for pushing models into production both as an individual contributor and managing teams. Experience designing a data science roadmap and executing the vision behind it. Experience instilling a culture of ownership, collaboration, and results. ÂÂ"
88,"Applied Science Mgr, Fees and seller Economics",Amazon,"Seattle, WA, US",Be among the first 25 applicants,"DescriptionThe Selling Partner Fees team owns the end-to-end fees experience for two million active third party sellers. We own the fee strategy, fee seller experience, fee accuracy and integrity, fee science and analytics, and we provide scalable technology to monetize all services available to third-party sellers.We are looking for an experienced Applied Science manager to lead a team of machine learning scientists and economists to improve our understanding of seller economics, and enhance our ability to estimate the causal impact of fee, and policy changes. In this role you will provide technical guidance to scientists to develop machine learning and econometric models to increase our understanding of sellers using the Amazon marketplace and influence our fee pricing models. You will lead the development of causal models to help isolate the impact of fee and policy changes from other business actions, using experiments where possible, or observational data when it is not. You will own the research agenda of the team, ensure that projects address the business needs, and handle communication with stakeholders.The ideal candidate will have outstanding communication skills, strong technical knowledge, proven ability to lead a team scientists, and an innate drive to deliver results. He/she will be a self-starter, comfortable with ambiguity and will enjoy working in a fast-paced dynamic environment. He/she will work closely with Economists, Data / Applied Scientists, Strategy Analysts, and Software Developers.Responsibilities Lead a team of 5-10 people across technical job families (Applied Scientists, Data Scientists, Economists, Data Engineers…). Manage a research agenda that balances short term deliverables with measurable business impact with long term, high risk / high reward projects. Stay up to date with recent scientific publications relevant to the team Provide technical and scientific guidance to team members Hire and develop top talent Collaborate with business and tech teams both within and outside of fees for prioritization and resourcesBasic Qualifications M.S. in Statistics, Machine Learning, Economics, Operations Research or similar field. At least 3 years of people management experience At least 6 years of experience developing analytical models in a professional environment Proficient with machine learning techniques Expertise in causal inference Experience solving complex and highly ambiguous business challenges. Proficient in at least one of the common programming languages (e.g. Python). Strong verbal and written communication.Preferred Qualifications PhD in Statistics, Machine Learning, Economics, Operations Research or similar field. Experience with AWS technology (EC2, EMR, SageMaker, Athena, etc.)Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual OrientationCompany - Amazon.com Services, Inc.Job ID: A763579"
89,Data Science Engineer II (ML Modeling),Redfin,"Seattle, Washington, United States",71 applicants,"Redfin is combining technology and customer service to reinvent the end to end experience for buying and selling a home in the consumer’s favor.  The opportunity is huge, with $75 billion spent every year on real estate commissions and the industry is ripe for change. We’re helping people across North America buy and sell homes, saving them hundreds of millions of dollars in fees, and doing it all with a high customer satisfaction score.As the Data Science Engineer for the Big Data & Analytics Team, your job is to integrate, sanitize and transform our massive store of market and user data and use Machine Learning to turn it into a competitive advantage.  You’ll work in the team responsible for developing machine learning algorithms that power features like the Redfin Estimate, Hot Homes, and Home Recommendations. Our stack runs primarily in the cloud on AWS, so experience there is a big bonus. We have a robust monitoring and operational culture. You Should Have:A bachelor’s degree in C.S., mathematics, statistics, or a related field. A Masters or Ph.D. is a bonus2-4 years of experience building predictive models. Strong interest in building the next-generation machine learning platform for real estateExperience with open-source ML + Big Data technologies like Hive, Spark, Scikit-learn, Keras, pandas etc. and strong programming skills in Python and JavaInsight into how to design experiments and how to choose the right metrics for successAn entrepreneurial spirit and a strong empathy for the customer experienceStrong communication skillsWe Offer:An opportunity to be part of a dynamic, growing company where your contributions make a real difference and new ideas are always welcomeAmazingly smart and fun teammates to collaborate with and learn from.A competitive compensation package with generous benefitsA sweet office near South Lake Union with fun perks like free catered lunches!Redfin is an equal opportunity employer committed to hiring a diverse workforce."
90,Data Scientist,Amazon,"Seattle, WA, US",46 applicants,"DescriptionAmazon delights millions of customers around the world. Meet the behind the scenes team that enables our Human Resource and Operations Leaders to make informed decisions. The Amazon PeopleInsight team builds reporting and analytics tools for our teams that fulfill customer promise every day. Whether it is Fulfillment Center team that delivers your Prime order in two days, our Amazon Locker team that lets you pick up your package anytime that is convenient for you, our Prime Now team getting you lunch in under an hour, or one of many more, the PeopleInsight group is there providing people metrics along the employee lifecycle for our global operations businesses. The PeopleInsight team is a collaborative group of Business Analysts, Business Intelligence Engineers, Data Engineers, Data Scientists, Product Managers, and Program Managers dedicated to empowering leaders and enabling action through data and science. We deliver workforce, associate experience, and leadership insights so Amazon leaders can focus their efforts in ways that will engage, retain and grow their associates.We are now recruiting for an exceptional Data Scientist, Worldwide OperationsThe Ideal Candidate Will Be A Well-Rounded Athlete –Like a true athlete, you understand that we succeed or fail as a team. You are always ready to step up beyond your core responsibilities and go the extra mile for the project and your team. You nimbly overcome barriers to deliver the best products more quickly than expected. A Perpetual Student – You seek knowledge and insight. You challenge yourself to turn moments into master’s classes. Whether closing a gap, developing a new skill, or staying ahead of your industry, you revel in the joy of learning and growing. A Skilled Communicator – You excel when interacting with business and technical partners whether you are chatting, sending a written message, or conducting a presentation. A Trusted Advisor – You work closely with stakeholders to define key business needs and deliver on commitments. You enable effective decision making by retrieving and aggregating data from multiple sources and compiling it into a digestible and actionable format. An Inventor at Heart – You innovate on behalf of your customer by proactively implementing improvements, enhancements, and customizations. Your customers marvel at your creative solutions to challenges they had not yet identified. A Fearless Explorer – You are drawn to take on the hardest problems, navigate ambiguity, and battle skepticism. You never settle, even in the face of overwhelming obstacles.Roles and ResponsibilitiesSuccess in this role will include influencing within your team and mentoring peers. The problems you will consider will be difficult to solve and often require a range of data science methodologies combined with subject matter expertise. You will need to be capable of gathering and using complex data set across domains. You will deliver artifacts on medium size projects, define the methodology, and own the analysis. Your findings will affect important business decisions. Solutions are testable and reproducible. You will create documents and share findings in line with scientific best practices for both technical and nontechnical audiences.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation / Age.Basic Qualifications Masters with two years of experience or a Bachelors with five years of experience. Experience in SQL, R, Python, or another scripting language; command line usagePreferred Qualifications Track record of diving into data to discover hidden patterns and of conducting error/deviation analysis Knowledge of various machine learning techniques and key parameters that affect their performance Experience developing experimental and analytic plans for data modeling processes, using strong baselines, and determining cause and effect relations Evidence of using of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc. in data analysis projects Excellent written and verbal communication skills for both technical and non-technical audiences Experience in one or more natural language processing topics: tagging, syntactic parsing, word sense disambiguation, topic modeling; contextual text mining, and application of deep learning to NLP Previous experience in a ML or data scientist role with a large technology companyAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation / Age.Company - Amazon.com Services, Inc.Job ID: A964607"
91,Software Developer - Python / API / NoSQL – Leader in the Data Science & Media Tech Space,FILD ,"Seattle, Washington, United States",Be among the first 25 applicants,"Are you a Software Developer with strong Python, Node or Java development skills looking to join a pioneer in the Data Science and Media Tech space? Are you a Software Developer (Python, Node or Java) who has strong server-side development experience and has worked with various API's? Are you a Software Developer who’s interested in building the first of its kind self-serve Audience Intelligence platform? Are you a Software Developer looking to join an emerging media tech company with core working hours, a relaxed working environment, work from home options, good benefits and a top tier team? If yes, continue reading….   Software Developer is needed for the Premier company in the Data Science and Marketing Technology Space. Entrenched in Algorithms that drive stronger relationships between Agencies, Brands and Consumers across all platforms (Social, Mobile, Web & TV), this is a firm that has been nominated as the top cross-channel video advertising software company year after year! They have a strong management team in place, tremendous client partnerships and client satisfaction enabling them to aggressively expand the team in the early part of the New Year. The environment offers a ton of flexibility, allows for a lot of creativity, and you’ll have a strong voice in the overall development environment. WHAT YOU WILL BE DOING:Develop high traffic, large scale and concurrent web applications for both Agency and Brand customersArchitect high performance, scalable solutions for the first of its kind self-serve audience intelligence platformMaintain and expand upon knowledge of multiple languages, frameworks, tools, devices, applications, and their capabilitiesDesign, develop, implement and maintain a flagship social integration platformCreate mechanisms for scraping dataDesign and develop amazing customer friendly productsDevelop models within distributed computing frameworksDesign and build complex applications with an emphasis on performance, scalability, and high reliability    Solve problems related to streaming user content, real time notifications, and large data sets                                WHAT YOU NEED:2+Years of Python, Node or Java experience (Backend in Python)Modern Front-End skills with React, Angular or Ember (Front End in React)Experience working with Large Data SetsExperience with APIs and RESTful Web Services Familiar with Kubernetes, Celery, Flask Experience with large scale, concurrent applications is a plusFamiliar with MongoDB, MySQL or other NoSQL Databases Strong problem-solving capabilities and exhibits strong Computer Science FundamentalsBachelor’s Degree in Computer Science, Math or similar WHAT YOU WILL GET:Competitive base salaryFull Benefits – Health, Dental, Vision and LifeFlexible working hours and environmentAbility to work remote / from home401k with company matching up to 4%Yearend Bonus up to 15%Unlimited Vacation - Vacation-less policyMaternity and Paternity leaveFantastic new office space in downtown SeattleCohesive team with a very autonomous & Creative work environmentOther company perks So, if you’re a Software Developer who is interested in building out a first of its kind self-serve audience intelligence platform and like what you see above, please apply today."
92,Lead Data Science Engineer,Highspot,"Seattle, WA, US",Be among the first 25 applicants,"About HighspotHighspot helps sales teams improve customer conversations and achieve their revenue goals. From content optimization and performance analytics to in-context training, guided selling, and more, the Highspot platform delivers enterprise-ready features in a modern design that sales ­­reps and marketers love. Using Highspot, sales teams are able to stay connected to the best-performing content for each opportunity, customize and optimize their content, and more effectively engage with their customers and prospects. With 90 percent average monthly recurring usage and global support in over 125 countries, Highspot is the sales enablement industry's most trusted solution.About The RoleHighspot is seeking a lead data science engineer for our Data Science team. This role is ideal for an experienced data science engineer looking to take immediate ownership of our machine learning initiatives and gradually bring their leadership skills to bear as we augment data science staff over time.An important market differentiator for Highspot is the intelligence behind our software. Our platform has the industry's only patented search AI to help sales professionals quickly find the right content, and our unique content scoring system employs machine learning to analyze how content is used and quantify its impact on revenue.But we wouldn’t be Highspot if that were good enough! We’ve earned the next challenge, and to rise to meet it we need someone with an inquisitive mind, a passion for data analytics, and the right combination of engineering knowledge and customer awareness to help us invent the future of AI-augmented sales enablement.What You’ll Do Tap into the expertise of in-house industry experts to understand the challenges facing modern sellers and develop new ways to put our data to work to help solve them. Drive the evaluation and selection/implementation of new components that will generate new and actionable insights for customers, support features in high-demand by customers, and further differentiate Highspot from our competition. Use your knowledge of quantitative analysis, natural language processing, collaborative filtering, clustering, and data mining to identify customer trends and develop competitive new features. Contribute production-quality code to our backend codebase to bring your ideas to life. Take ownership of our data science roadmap, articulating a plan to address immediate challenges in the form of scaling and performance measurement, and map out an incremental approach to longer-term market and technical opportunities.  Participate in cross-functional planning and reviews with key stakeholders.Your Background You’re comfortable using modern dynamic programming languages and you have experience developing software products, scalable internet software, and applications using a range of software models including object-oriented and functional design patterns. Some of the tools we use to build Highspot include Ruby, Clojure, MongoDB, PostgreSQL, Apache Solr and Lucene, AWS, and Chef (but we don’t expect you to be an expert in all of those). You have deep expertise in data science and machine learning. You have experience with R, Python or other statistical/machine learning software. You have a M.S. or Ph.D. in a quantitative field (Computer Science, Mathematics, Machine Learning, AI, Statistics, or equivalent) or equivalent industry experience. You have great interpersonal communication skills and work well in a diverse, team-focused environment. You're driven by empathy to support, learn, and guide the team to be successful.Benefits Exceptional medical, dental, and vision benefits Flexible work and vacation schedules Transportation benefits Competitive compensation Fully-stocked kitchen with healthy snacks and drinks Free catered Friday lunches Company bonding events throughout the year Open and spacious office, based in the heart of Seattle Great views of the city and Puget Sound Meaningfully contribute to a compelling vision Environment to do your best workEqual Opportunity StatementWe aim to build an inclusive workforce at Highspot. If you’re passionate about this role, but do not meet 100% of the qualifications listed above, we still encourage you to apply. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of age, ancestry, citizenship, color, ethnicity, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or invisible disability status, political affiliation, veteran status, race, religion, or sexual orientation."
93,Principal Software Engineer,Microsoft,"Bellevue, WA, US",Be among the first 25 applicants,"AI is the next computing revolution and the AI Frameworks team is at the heart of it. Do you want to bring the power of AI into many Microsoft products, to reach millions of customers, data scientists and developers? Do you want to be part of a rapidly growing team that builds the best classical and deep learning ML frameworks and inferencing engines for Microsoft?Come join us!You will be crafting production-grade code that scales to billions of examples and features across many platforms, working closely with key teams across the company such as Windows, Visual Studio, MSR, and Azure to enable developers and data scientists realize the promise of machine learning. You’ll use open source technologies and GitHub for your work and collaborate with the community at large.Throughout you’ll be balancing the challenges of unsolved problems against opportunities to learn from those around you while keeping up with the state-of-the-art machine learning techniques and algorithms.Our ML frameworks code powers Microsoft R Server, prevents image spoofing in ""Windows Hello"", and forms the backbone of Bing’s relevance training pipeline. A potential candidate must have a BS (MS/PhD is a plus) in computer science or related software engineering fields, be proficient in C++/C# and have strong software engineering fundamentals (data structures, algorithms, object-oriented design, parallel programming), be comfortable system-level programming and not afraid to wear many hats to get the job done.Experience with machine learning or deep learning is a plus but not required. After all, we believe in learning and growing on the job, so being passionate about ML and having a desire to learn are important.ResponsibilitiesImplement and benchmark scalable, efficient code on a variety of platforms (CPU, GPU, FPGA, Linux, Windows) and continuously improve them Drive sound architecture, design, and implementationConduct technical investigations and prototyping in a dynamic environmentWork with customers to understand their requirements and applicationsBe active in the open source communityQualifications8+ years software design and development skills/experienceKnowledge in C++, C#, Python and system programingBachelor’s degree in computer science or related areas Excellent communication skills, both verbal and writtenPassionate, self-motivatedPreferred SkillsMaster’s or PhD’s degree in computer science or related areasDeep learning or ML expertise.GPU expertise, especially CUDA.If you want to shape the future of AI, apply today!RequirementsThese requirements include, but are not limited to the following specialized security screeningsAbility to meet Microsoft, customer and/or government security screening requirements are required for this role. Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.#AIPLATFORM##AIPLATREF#Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
94,Data Science Curriculum Designer and Instructor - Bellevue,Coding Dojo,"Bellevue, WA, US",Be among the first 25 applicants,"Data Science Curriculum Designer and Instructor - Bellevue Curriculum Development Instruction Bellevue, WA, USADescriptionCoding Dojo is looking to add an experienced curriculum designer and instructor to our team to create and design new courses on the cutting edge of technology. This role be two-fold: Curriculum Designer and Instructor. The primary responsibilities will be to lead the development of new Data Science and Machine Learning curriculum, and to deliver this content locally in the Greater Seattle Area, and potentially at locations all around the world, including London, Tel Aviv, Sydney and more.Responsibilities Design and develop Data Science, Machine Learning and AI curriculum Design and develop Azure cloud services curriculum Deliver workshops on data science, data analytics, machine learning, Python, SQL, statistics, probability and data engineering Facilitate group discussions, demos and in-class activities Follow industry trends in big data, deep learning, machine learning and AI Play a hands-on role in curriculum development, use what you learn from working with students to make the curriculum world class Gather and report on student metrics Work alongside Coding Dojo’s Online Instruction team to deliver remote training Participate in professional training, so you stay fresh!Educational And Experience RequirementsYou must have proficient data science and machine learning experience. Please ensure you meet or exceed the following: B.S. degree in data science, engineering, mathematics, statistics, or a related degree from an accredited college or university Proficient in cloud computing services, specifically Azure Professional experience as a data scientist Expertise in Python, Python libraries, SQL, statistics, mathematics, machine learning, data visualization tools and all of the data science topics that we teach Teaching and leading teams experience a big plus A combo of technology and education in your background is preferredWE'D LOVE TO WORK WITH YOU IF... You are passionate about learning, helping others, and making a positive impact in the world. Your energy will be an important driver for the success of our students and staff. You are an education fanatic. You understand different approaches to curriculum design and pedagogies. You are a highly motivated individual with leadership skills who can guide and lead projects to completion. You are willing to travel up to 25% of the time to other Reactor locations worldwide. Teaching, mentorship, and coaching experience is a big plus!About Coding DojoCoding Dojo is an industry-leading coding bootcamp whose flagship program is unmatched: we teach 3 full stacks in 3 months—a mixture of which can include iOS, Python, MEAN, Rails, C#, Java, or LAMP. If you have development and/or instruction experience and are looking for a new and exciting milestone in your career, this position is a rare opportunity to join a rapidly growing start-up and make a positive impact in many people's lives.Coding Dojo has campuses in Silicon Valley, Seattle, Los Angeles, Dallas, Arlington, Chicago, Tulsa, Boise, and online.Coding Dojo offers a competitive salary and standard benefits."
95,Research Intern - NeXT Microsoft Healthcare,Microsoft,"Redmond, WA, US",30 applicants,"Microsoft Research provides a dynamic environment for research careers with a network of world-class research labs led by globally recognized scientists and engineers. Our researchers and engineers pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, healthcare, economics, and the environment.The Microsoft Healthcare team is working at the intersection of computing and healthcare to invent and re-invent how technology could have a profound impact on healthcare and care delivery across the world. We are an interdisciplinary team of scientists, engineers, and medical doctors who endeavor to develop next-generation technologies for healthcare. We offer a unique vibrant environment that features cutting-edge academic research, enterprise software development, and real-world delivery, with close feedback loops and rapid iterations among all three, much like a lean startup.Tasked with keeping Microsoft at the forefront of healthcare innovation, rock-turning and discovery is a key process for our team. We look for trends where a traditional problem can be turned into a computational problem. Computational microscopy and digital pathology are rapidly following this trend. We are looking for an innovative, collaborative, and highly motivated research intern to join our efforts in exploring computational microscopy or digital pathology fields to formulate problem statement, design, develop and implement proof of concepts that helps inform our innovation strategy and investment direction for these said fields.ResponsibilitiesInterns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world’s best researchers, interns learn, collaborate, and network for life. Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, students are paired with mentors and expected to collaborate with other interns and researchers, present findings, and contribute to the vibrant life of the community. Research internships are available in all areas of research, and are offered year-round, though they typically begin in the summer.We are looking for a research intern in EECS or biomedical engineering or a related field. This individual must have experience with computational microscopy research and/or digital pathology research including building hardware-software systems. The ideal candidate would be a senior Ph.D. student in EECS with experience in building novel computational microscopy systems and techniques. Candidates may also be pursuing a Ph.D. in a related field such as mechanical engineering, electrical engineering, computer science, etc.#msfthealthcare #healthfutures #computationalMicroscopy #digitalPathologyQualificationsIn addition to the qualifications below, you’ll need to submit a minimum of two reference letters for this position. After you submit your application, a request for letters may be sent to your list of references on your behalf. Note that reference letters cannot be requested until after you have submitted your application, and furthermore, that they might not be automatically requested for all candidates. You may wish to alert your letter writers in advance, so they will be ready to submit your letter.Required QualificationsMust be currently enrolled in a PhD program in EECS, Bio Engineering, Electrical Engineering, Mechanical Engineering, Computer Science or a related STEM fieldPreferred QualificationsPublication record or product implementation record in the field of computational microscopy or digital pathologyExperienced rapid prototyperExperience with experimental designExperience working with hardware-software integrated systemsExperience working with optical physicsExperience with signal processing and data science in Matlab or PythonExperience implementing hardware to try novel computational imaging techniquesExperience with optics and building optical stacksExperience collaborating with interdisciplinary teamsDrive to be a ""learn-it-all""Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
96,Data Scientist: Deep Learning & NLP,Allstate,"Bothell, WA, US",29 applicants,"Where good people build rewarding careers.Think that working in the insurance field can’t be exciting, rewarding and challenging? Think again. You’ll help us reinvent protection and retirement to improve customers’ lives. We’ll help you make an impact with our training and mentoring offerings. Here, you’ll have the opportunity to expand and apply your skills in ways you never thought possible. And you’ll have fun doing it. Join a company of individuals with hopes, plans and passions, all using and developing our talents for good, at work and in life.Job DescriptionData Discovery and Decision Science (D3) is the research and analytics organization at Allstate. We are 300+ people solving some of today’s most complex analytics problems, making the lives of our Allstate colleagues easier and more productive, and driving our mission to deliver exceptional insurance solutions to our customers. We are passionate about learning new ways to get the most value from our massive data resources. We are partnering to incorporate analytics into every aspect of the enterprise. Developing ourselves and others is key to our success.Deep Learning and NLPAre you passionate about the possibility of applying your Deep Learning and NLP skills to extract meaning from Allstate's massive unstructured data? As a Sr. Data Scientist authority in these areas you will be responsible for researching, developing, and improving algorithms that help computers learn from text. Our goal is to reduce the time and expense of performing traditionally manual tasks, growing efficiency and reducing costs. By extracting meaning from large data sets containing millions of documents, you will help Allstate to develop NLP capabilities to improve the speed and ease with which we underwrite a policy, estimate a claim, or service a customer.In This Role You Will Conduct state of the art research in Natural Language Processing / Understanding. Use research and apply state-of-the-art deep learning techniques to inform key strategic recommendations and decisions. Work across the enterprise to identify and incubate business use cases. Advise data scientists and business partners on applying NLP in their work and regularly train them on the state-of-the-art.Job QualificationsExperience developing natural language processing/understanding, machine learning, or artificial intelligence algorithms/models required. Strong experience in deep learning required.A graduate degree in a field such as math, computer science, statistics, engineering or machine learning, or equivalent experience.Experience with general machine learning tools to build models and analyze data. (e.g. in R, Python, Matlab) and deep learning tools (e.g. TensorFlow, Keras, PyTorch) required.Verified skills in coding. Software development experience a plus.Knowledge of the theory and practice of NLP and deep-learning techniques.Ability to craft new concepts and stay current with academic research.Ability to summarize research and analysis for audiences with varying levels of expertise.Strong analytic agility. The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.Good Work. Good Life. Good Hands®. As a Fortune 100 company and industry leader, we provide a competitive salary - but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy.Learn more about life at Allstate. Connect with us on Twitter, Facebook, Instagram and LinkedIn or watch a video.Allstate generally does not sponsor individuals for employment-based visas for this position.Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.For jobs in San Francisco, please click ""here"" for information regarding the San Francisco Fair Chance Ordinance.For jobs in Los Angeles, please click ""here"" for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.It is the policy of Allstate to employ the best qualified individuals available for all jobs without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identity/gender expression, disability, and citizenship status as a veteran with a disability or veteran of the Vietnam Era."
97,Data Engineer,SPUR,"Redmond, WA, US",Be among the first 25 applicants,"Title: Data EngineerJob DescriptionA Data Engineer works within our Data Analytics + AI Team. In this role, you become a fully integrated member into project teams within the first few weeks of employment. You will partner with our clients to maximize data’s value by uniting the newest techniques to provide data strategy, architecture, management and governance. You will be connecting data to actionable insight and decisions through data science and visualization.Skills Bachelor’s Degree in (Computer Science, Data Science, Mathematics or Economics) OR equivalent experience. Masters Preferred. 2+ years of relevant professional experience required (Data Science, Analytics, AI, Machine Learning) Experience interacting with data to generate datasets, graphs and charts with exceptional quality required Experience with visualization platforms like Power BI and Tableau Experience with SQL including joins, inserts, updates, deletes, conditional logic, subqueries, temp tables, and data transformation functions Experience with Microsoft Azure data products or related products such as PowerApps, SSAS, SSIS, SharePoint Workflows, Data Factory, PowerShell, etc. Experience with Agile development process preferred Understanding of continuous integration / continuous deployment and code repositoriesPreferred 1+ year of experience with Cloud Data Tools on either Azure or AWS"
