,Job_Title,Company,Location,Number_of_Applicants,Description
133,"Associate Director, Quality Engineering - Data Analysis",Kite Pharma,"Santa Monica, CA, US",Be among the first 25 applicants,"For Current Kite Pharma Employees and Contractors Please log onto your Internal Career Site to apply for this jobJob DescriptionEveryone at Kite is grounded by one common goal – curing cancer. Every single day, we seek to establish a direct line between that purpose and our day-to-day work. Join us in our mission!We are seeking a highly motivated individual to join our Quality Engineering team as Associate Director, Quality Engineering. This position will be located at the Kite headquarters in Santa Monica, CA and perform as leader in Kite’s Quality Engineering department. Reporting to Kite’s Head of Quality Engineering you’ll interface and build strong partnerships with Quality, IT, Validation, Engineering, Manufacturing, R&D and other parts of Kite’s organization.Responsibilities (include, But Are Not Limited To)Develop and implement innovation based metrics for Quality in Kite’s Technical Operations organization.Provide oversight to implementation of automated interfaces to IT systems containing metrics source data.Collaborate with Process Development and Manufacturing in a Community of Practice around metrics, statistics and visualization of quantitative data in support of Quality Management Review and ad hoc data analytics.Manage a high performing team of talented Quality Engineers.Lead the Data Analysis function for Quality Engineering.Build and lead cross functional Community of Practice for metrics, statistics and big data management.Continuously provide and refine quality metrics to management for review.Support Kite’s Quality Management Review at individual sites as well as global functions.Support Kite’s QRM Community of Practice as key member.Develop metrics for Validation, Risk Management, System Configuration Management and Data Integrity.Lead implementation of Kite’s Data Analytics Platform (IT application).Co-Chair and provide guidance to Kite’s Process Monitoring Review Board.Partner with QE’s Quality Risk Management team in development of a central Quality Risk Register.Support regulatory inspections and audits.Support vendor qualification and – compliance management.Track, review and report metric information for use in continuous improvement.Ability to travel internationally.Perform other duties as required.QualificationsBS or BA degree in technical discipline (Mathematics/Computer Science/Engineering or similar) and 10+ years of data analytics experience in a GMP environment (Drug Substance or Drug Product)ORMS degree in technical discipline (Mathematics/Computer Science/Engineering or similar) and 8+ years of data analytics experience in a GMP environment (Drug Substance or Drug Product)Minimum of 8 years of management experience.Working knowledge of regulatory requirements (21 CRF Part 11/210/211, ICH 8, ICH 9, ICH 10).Proficiency in statistical evaluation along the pharmaceutical product life cycle.Proficiency in application and use of advanced statistics and – data analytics.Operational experience in statistical process control.Quality Assurance, GMPs, global Health Authority Regulations and Validation practices/principles.Experience with internal and external audit principals.Experience in the medical and/or pharmaceutical industry. ASQ, Black Belt/Green Belt certifications, preferredProficient in MS Word, Excel, Power Point and statistical applications.Strong written and verbal communication skills.Ability to communicate and work independently with scientific/technical personnel.IND123Kite is a biopharmaceutical company engaged in the development of innovative cancer immunotherapies with a goal of providing rapid, long-term durable response and eliminating the burden of chronic care. The company is focused on chimeric antigen receptor (CAR) and T cell receptor (TCR) engineered cell therapies designed to empower the immune system's ability to recognize and kill tumors. Kite is based in Santa Monica, CA. For more information on Kite, please visit www.kitepharma.com . Sign up to follow @KitePharma on Twitter at www.twitter.com/kitepharma . For jobs in the United States As an equal opportunity employer, Gilead Sciences Inc. is committed to a diverse workforce. Employment decisions regarding recruitment and selection will be made without discrimination based on race, color, religion, national origin, gender, age, sexual orientation, physical or mental disability, genetic information or characteristic, gender identity and expression, veteran status, or other non-job related characteristics or other prohibited grounds specified in applicable federal, state and local laws. In order to ensure reasonable accommodation for individuals protected by Section 503 of the Rehabilitation Act of 1973, the Vietnam Era Veterans' Readjustment Act of 1974, and Title I of the Americans with Disabilities Act of 1990, applicants who require accommodation in the job application process may contact careers@gilead.com for assistance.For more information about equal employment opportunity protections, please view the ‘EEO is the Law’ poster.NOTICE EMPLOYEE POLYGRAPH PROTECTION ACTYOUR RIGHTS UNDER THE FAMILY AND MEDICAL LEAVE ACTPAY TRANSPARENCY NONDISCRIMINATION PROVISIONOur environment respects individual differences and recognizes each employee as an integral member of our company. Our workforce reflects these values and celebrates the individuals who make up our growing team.Gilead provides a work environment free of harassment and prohibited conduct. We promote and support individual differences and diversity of thoughts and opinion. For Current Kite Pharma Employees and Contractors Please log onto your Internal Career Site to apply for this job."
134,Data Science Intern,Eko,"Berkeley, California, United States",140 applicants,"About the company:Eko is a venture-backed digital health company which harnesses the power of smartphones and cloud data for screening and monitoring individuals with cardiovascular diseases. We have built a platform of non-invasive cardiovascular monitoring devices, clinical software, and point-of-care decision support software to improve the delivery of cardiovascular care.In 2015, we launched the Eko Core Digital Stethoscope, the first FDA-cleared digital stethoscope on the market to wirelessly stream heart and lung sounds to HIPAA-compliant software. It is now used by clinicians at over 1000 hospitals & health systems around the globe and was recognized as a “Best Invention of the Year” by TIME Magazine. Eko's latest FDA-cleared device, DUO, is the first combined digital stethoscope and ECG cardiac monitor with cardiac AI for in-clinic and at-home monitoring, offering 28 million heart disease patients the ability to seamlessly send cardiac data to their physicians.Eko was established in 2013 and has offices in Berkeley and San Francisco. Job Description:As the Data Science Intern at Eko, you will:Develop, implement and test algorithms to detect cardiovascular conditions and improve patient care. Work with multiple data sources including data from clinical partners as well as Eko’s proprietary audio and EKG sensors. Build state of the art machine learning models which leverage deep neural networks, biomedical signal processing algorithms, etc.Work collaboratively with other data scientists as well as product, clinical and software teams at Eko.Qualifications:Currently enrolled as a PhD or MS student in Electrical Engineering, Computer Science, Statistics, Bioengineering, or a related subject. Preference will be given to candidates intending to graduate within the next year.Hands-on experience of machine learning and data mining: classification, clustering, time-series analysis, or recommender systems.Expertise in signal processing, optimization, statistics, machine learning demonstrated through previous work experience or publications in top academic venues.Experience with scientific software development packages including: python, numpy, scipy, pytorch, tensorflow, pandas, scikit-learn.Excellent written and verbal communication skills.Nice to HavesExperience working with medical devices or biomedical data analysis.Experience with cloud platforms such as AWS, Azure or GCP."
135,Data Science Intern,Retina AI,"Santa Monica, CA, US",Over 200 applicants,"At Retina, we enable businesses to tell their own data stories. We use data science and machine learning to predict the future buying behavior of consumers, and the types of actions that businesses can take around those predictions. These sophisticated models are then turned into digestible strategic insights and actionable marketing segments.The Data Science Intern at Retina will be reporting to the senior data scientists and engineering team. You will have the opportunity to apply your coding, mathematical, and scientific research skills to the bleeding edge of predictive modeling tools. This is a part-time position (20 hrs/week).Responsibilities Organize data from multiple sources and data scientists Create data visualization presentations for reports Provide analytical solutions and technical input to internal teams regarding data discovery, planning, and processing Design, develop, test, troubleshoot and document systems to produce data-driven decision making and other related concepts Analyze complex big data schemas from clients Keep current with outside advancements in data science techniques and inject developments as appropriate Qualifications Working towards a B.S. / M.S. degree in Data Science, Computer Science, Mathematics, Statistics, Engineering, or a related technical discipline from a top university with junior level standing or above. Collaborative problem solving and an interest in storytelling Knowledgeable in one or more programs is required - SQL, Python, R, and Visualization tools  Working understanding of Powerpoint Presentation and narrative generation Experience utilizing machine-learning, analysis, and visualization to generate and share insights for clients/customers Personal Skills Strong communication skills (written and oral); explaining technical features to a non-technical audience Collaborative and creative problem solving with the ability to take initiative Possess strong ownership characteristics and commitment to achieving results on time Demonstrated ""team player"" with a quality orientation and interpersonal skills Willing to be ""wrong"" at times and be open to the ideas of others Other informationRelocation assistance and/or housing is not provided for these internships. We are not able to sponsor visas for this position."
136,Director Data Science,NortonLifeLock,"San Diego, CA, US",Be among the first 25 applicants,"Director Data ScienceUSA - California, San DiegoOverviewThe Senior Principal Data Scientist/Director, Data Science is an integral member of the team that develops and refines the statistical and machine learning models that power ID Analytics’ products and services. This team also drives innovation around data technology infrastructure and performs large scale data mining and analysis to support Product, Marketing, Engineering, Client Services, Sales, and customers.As a leader on this team, the Senior Principal Data Scientist/Director, Data Science is responsible for mentoring and guiding the projects and research performed by the team to ensure best practices and the highest quality of work, keeping abreast of emerging industry trends, and driving adoption of new technologies, as well as performing hands-on research and modeling activities.The ideal candidate will have extensive experience with machine learning and statistical modeling techniques, managing projects from requirements gathering through delivery, translating business requirements into technical solutions, collaborating with technical and business stakeholders across the company, leading and mentoring data scientists, and communicating with clients.This role can either be an individual contributor role, in which case leadership of projects will not include direct HR responsibilities, or a management role where HR responsibilities will be included.Responsibilities Leadership of modeling projects Provide key technical and business guidance to the team Provide project direction and supervision   Project management Develop and use effective project management procedures to schedule resources, communicate progresses, and ensure deliveries Make sound technical decisions based on facts and analysis   Provide sales support Be aware of and personally familiar with customer environment and needs, tailor all aspects of project tasks (sales support, implementation, and follow-up support) to suit customer needs Serve customer’s needs by presenting results that are understandable to clients and providing direct assistance to sales staff   Leverage technology to balance efficiency and long-term viability Develop or identify best practices in all analytic modeling tasks Provide technical support to product implementation that maximize profitability and/or efficiency Lead or encourage analytical research and new technology development to improve modeling techniques and results  Analytics/Machine Learning:  Design and build efficient systems to solve difficult analytics problem Expert knowledge of multiple machine learning algorithms for supervised and unsupervised learning Drive adoption of new research trends Lead complex analytics projects with uncertain business requirements; negotiate business requirements based on technical merits; communicate technical trade-offs  Data Management/Data Analysis/Data Mining: Identify data discrepancies and quality issues; conduct data mining and discovery of large data sets Advanced knowledge of large scale data mining and analysis algorithms, tools and technologies (e.g., MapReduce, spark, hive) Advanced knowledge of data security and encryption standards Critical reviews of data experiments to ensure accuracy, completeness, and feasibility.  Qualifications Master’s degree in a relevant technical discipline (Math, Engineering, Computer Science, Statistics or a similar field) with at least 8 years of job experience or Ph.D. degree in a relevant technical discipline with at least 6 years of experience preferred  5-6 years of experience using machine learning to build advanced predictive models using large data sets to solve complex business problems.  Strong background in Unix/Linux system architecture and command line tools Deep experience with some of the following: Java, Python, Scala. 1-3 years experience with cloud architectures/distributed computing frameworks such as Hadoop, AWS/EMR, BigQuery, etc. Experience with software engineering principles/best practices  Strong interpersonal and communication skills (both written and oral) including the ability to communicate complex technical or statistical concepts to a non-technical audience. Fraud and credit risk management industry experience in developing scoring models is preferred. At least 4 years of experience leading projects, teams and managing Data Scientists Strong analytical skills in project planning, technical decision making, and product support Experience understanding the larger compliance and regulatory requirements that impact model building and how process/procedures in the modeling framework support those needs LI-GVSymantec is proud to be an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive and accessible environment for all employees. All employment decisions are based on merit, experience, and business needs, without regard to race, color, national origin, age, religion, sex, pregnancy (including childbirth or related medical conditions), genetic information, disability (physical or mental), medical condition, marital status, sexual orientation, gender identity or gender expression, military or veteran status, or any other consideration made unlawful by federal, state, or local law. Symantec strictly prohibits unlawful discrimination based on such protected characteristics and seeks to recruit the most talented candidates from diverse cultures and backgrounds.We also consider for employment qualified individuals with arrest and conviction records. In addition, Symantec will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Learn more about pay transparency.EEO is the law. Applicants and employees of Symantec Corporation are protected under Federal law from discrimination. See the EEO poster and supplement .Posted 30+ Days Ago Full time 49498Symantec Corporation (NASDAQ: SYMC), a global leader in cyber security, operates one of the world’s largest cyber intelligence networks allowing organizations, governments, and people to secure their most important data wherever it lives. Enterprises across the world rely on Symantec for integrated cyber defense against sophisticated attacks across endpoints, infrastructure, and cloud. More than 50 million people and families rely on Symantec’s Norton and LifeLock Digital Safety Platform to help protect their personal information, devices, home networks, and identities at home and across their devices.Relentlessly protect the world’s information. Make a difference at Symantec. Across the globe, we are an ‘essential’ partner to both consumers and businesses of all sizes. We combine our talents, our brains, and our creative energy to reinforce our place as a world-class technical community.Our most critical asset at Symantec is the talent we hire - you! We look for people who have a desire to excel and reflect our values: Innovation, Action, Customer-Driven, and Trust. We recognize that every opening in our company is a chance to increase Symantec's competitive advantage, and we are willing to invest in you in order to win.Symantec is committed to requests for reasonable accommodations to assist you in applying for positions at Symantec including resume submissions. If you need to request an accommodation, please reach out by email to Talent Acquisition or contact HR Service Exchange ."
137,Data Science Manager,Sony Corporation of America,"San Mateo, CA, US",Be among the first 25 applicants,"PlayStation isn’t just the Best Place to Play —it’s also the Best Place to Work. We’ve thrilled gamers since 1994, when we launched the original PlayStation. Today, we’re recognized as a global leader in interactive and digital entertainment. The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.Data Science ManagerOverviewThe Data Strategy and Operations (DSO) team has grown rapidly over recent years in response to an increasing need for the business to leverage data to inform and shape key decisions, and to identify new opportunities. Currently there are over 100 staff within the global DSO team, made up of high quality data science and engineering professionals covering BI architecture and platform support, data processing, insight reporting, predictive analytics, scrum masters and product managementDue to team expansion DSO are looking to recruit talented, highly driven individuals who have excelled in previous roles and are looking for a new challenge in a dynamic and rewarding environment.OverviewData Scientists in DSO apply advanced analytical methods and tools to drive value from the data through techniques such as customer segmentation, predictive modelling, forecasting and other algorithms. Our work delivers an in depth understanding of consumer behaviours and support multi-channel targeting and personalization.What You’ll Be DoingYou will work in our San Mateo HQ in a distributed agile team, supporting stakeholders throughout the global business in areas such as marketing, CRM, product planning and development, R&D and retail.ResponsibilitiesDevelop, train, test and deploy data science models, such as customer behavior segmentation or predictive modellingApply appropriate statistical techniques to answer product questions and understand consumer behaviorLead and act as a line manager to three data scientistsWork with Product Managers to gather requirements from stakeholders, prepare and present analysis resultsCommunicate findings to other technical and non-technical teamsAct as an ambassador for the team; maintain and enhance reputation and profile within the business by building strong relationships with stakeholders and positively contributing to DSO delivering the highest possible value from people and technical resources available.Some global travel may be required, usually to Sony offices in London or Tokyo.RequiredMasters degree or PhD in a relevant technical or mathematical fieldExceptional analytical, quantitative, problem-solving, and critical thinking skillsStrong data management skills including SQLExperience developing data science models with Python and associated librariesStrong written & verbal communication skills; including the ability to present detailed analyses to a broad audience rangeOrganized self-starter, with drive and commitment; able to work with little supervision.Excellent interpersonal skills and the ability to maintain effective working relationshipsNice-to-HaveExperience of line management and mentoring junior data scientists.Experience working with distributed computing tools (Spark etc.)Experience of deploying data science models on scalable cloud platformsExperience of visual analytical tools such as TableauExperience of relevant industries (e.g. gaming, digital commerce, subscription services)Interest in gamingSony is an Equal Opportunity Employer. All persons will receive consideration for employment without regard to race, color, religion, gender, pregnancy, national origin, ancestry, citizenship, age, legally protected physical or mental disability, covered veteran status, status in the U.S. uniformed services, sexual orientation, gender identity, marital status, genetic information or membership in any other legally protected category.We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond.We sincerely appreciate the time and effort you spent in contacting us and we thank you for your interest in PlayStation."
138,"Manager, Data Engineering",PayPal,"San Jose, CA, US",125 applicants,"Who We Are Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom, enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies. When applying for a job you are required to create an account, if you have already created account - click Sign In.Creating an account will allow you to follow the progress of your applications.NoteProvide full legal first Name/Family Name DO: Capitalize first letter of First and Last Name. Example: John Smith  DON'T: Capitalize entire First and/or Last Name. Example: JOHN SMITH  NOTE: Use correct grammar for Names with multiple cases. Example: McDonald or O'ConnellProvide full address detailsResume Is RequiredMultiple attachments can be uploaded including Resume and Cover Letter for each applicationJob Description SummaryPayPal Global Data Science team is looking for a Manager in San Jose to lead a local Big Data development team. This team is responsible for data and data science solution design, development, delivery and support/management as well as corresponding tools & infrastructure to enable and optimize wide-range business decisions through AI/Machine Learning. Working closely with technical product management team and technical partners, you are expected to effectively mentor, transform & grow the team and team's capability. You will also be challenged to effectively unlock the AI power from data across business domains in leading ML shop with top global talents. You are responsible for influencing and supporting broader business and their technical directions as well as executive level decisions while driving the business delivery at the same time.Job responsibilities Manage and transform the team from Teradata to Big Data platform, from data service to data & data science solutions. Drive business delivery as a technical leader. Lead technical infrastructure and capability build up. Influence and align with business and technical global partners cross organizations at difference levelsJob DescriptionSolid technical leadership and expertise in Big Data areas and beyond.To be able to mentor and grow talent, drive technical build up, influence and align with partner technical decisions especially in Hadoop platform, Teradata, streaming and enterprise data platform.5+ years of people management experience and excellent management skills to transform and grow team effectively.High exposure to ecommerce business.Passionate to grow talent as well as technical and business capability and impact.Strong communication and internal skills with one-team spirit to influence and work with partners at different level. AI/Machine Learning experience is plus to have.SubsidiaryPayPalTravel Percent0Primary Location:San Jose, California, United States of AmericaAdditional Locations:Bachelors Degree or Equivalent: Computer Science We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom. PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com .Reference Number: R0049303"
139,Data Science Manager,PlayStation,"San Mateo, CA, US",Be among the first 25 applicants,"PlayStation isn’t just the Best Place to Play —it’s also the Best Place to Work. We’ve thrilled gamers since 1994, when we launched the original PlayStation. Today, we’re recognized as a global leader in interactive and digital entertainment. The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.Data Science ManagerOverviewThe Data Strategy and Operations (DSO) team has grown rapidly over recent years in response to an increasing need for the business to leverage data to inform and shape key decisions, and to identify new opportunities. Currently there are over 100 staff within the global DSO team, made up of high quality data science and engineering professionals covering BI architecture and platform support, data processing, insight reporting, predictive analytics, scrum masters and product managementDue to team expansion DSO are looking to recruit talented, highly driven individuals who have excelled in previous roles and are looking for a new challenge in a dynamic and rewarding environment.OverviewData Scientists in DSO apply advanced analytical methods and tools to drive value from the data through techniques such as customer segmentation, predictive modelling, forecasting and other algorithms. Our work delivers an in depth understanding of consumer behaviours and support multi-channel targeting and personalization.What You’ll Be DoingYou will work in our San Mateo HQ in a distributed agile team, supporting stakeholders throughout the global business in areas such as marketing, CRM, product planning and development, R&D and retail.Responsibilities Develop, train, test and deploy data science models, such as customer behavior segmentation or predictive modelling Apply appropriate statistical techniques to answer product questions and understand consumer behavior Lead and act as a line manager to three data scientists Work with Product Managers to gather requirements from stakeholders, prepare and present analysis results Communicate findings to other technical and non-technical teams Act as an ambassador for the team; maintain and enhance reputation and profile within the business by building strong relationships with stakeholders and positively contributing to DSO delivering the highest possible value from people and technical resources available. Some global travel may be required, usually to Sony offices in London or Tokyo. Required Masters degree or PhD in a relevant technical or mathematical field Exceptional analytical, quantitative, problem-solving, and critical thinking skills Strong data management skills including SQL Experience developing data science models with Python and associated libraries Strong written & verbal communication skills; including the ability to present detailed analyses to a broad audience range Organized self-starter, with drive and commitment; able to work with little supervision. Excellent interpersonal skills and the ability to maintain effective working relationships Nice-to-Have Experience of line management and mentoring junior data scientists. Experience working with distributed computing tools (Spark etc.) Experience of deploying data science models on scalable cloud platforms Experience of visual analytical tools such as Tableau Experience of relevant industries (e.g. gaming, digital commerce, subscription services) Interest in gaming Sony is an Equal Opportunity Employer. All persons will receive consideration for employment without regard to race, color, religion, gender, pregnancy, national origin, ancestry, citizenship, age, legally protected physical or mental disability, covered veteran status, status in the U.S. uniformed services, sexual orientation, gender identity, marital status, genetic information or membership in any other legally protected category.We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond.We sincerely appreciate the time and effort you spent in contacting us and we thank you for your interest in PlayStation."
140,Data Science Architect,Snowflake,"San Mateo, CA, US",29 applicants,"About SnowflakeSnowflake is growing fast and we’re scaling our team to help enable and accelerate our growth. We’re passionate about our people, our customers, our values and our culture! We’re also looking for people with a growth mindset and the pragmatic insight to solve for today while building for the future. And as a Snowflake employee, you will be accountable for supporting and enabling diversity and belonging.Snowflake started with a clear vision: make modern data warehousing effective, affordable, and accessible to all data users. Because traditional on-premises and cloud solutions struggle with this, Snowflake developed an innovative product with a new built-for-the-cloud architecture that combines the power of data warehousing, the flexibility of big data platforms, and the elasticity of the cloud at a fraction of the cost of traditional solutions.Data Science Architect We’re looking for a talented Data Science Architect to come aboard. In this role, you will work closely with our Data Science and Analytics, Product and Engineering teams create a best in class data science infrastructure and environment that maximizes the team impact and productivity. This is a strategic, high-impact role that will also help shape the future of Snowflake products and services.Responsibilities Of The Data Science Architect At Snowflake Include  Product Manager for Data Science Infrastructure   Examples:   Development environment for data scientists   A/B test infrastructure   Machine learning training and inference at scale   Transformation layer computation and scheduling.    Universal semantic data layer architecture and design   Data Science Program Management   Manage JIRA for team   Provide/update timelines of deliverables.    Mentor and teach others SQL/Python best practices/optimization.   Liaison between Data Science and Engineering on infrastructure.  Our ideal candidate will have:  8+ years experience including:   Designing and building complex data pipelines in a large scale data environment.   Using big data to drive business impact.   Product/Program management experience a plus.   Experience using Snowflake a plus.    BS in engineering (CS preferred), MS/PhD a plus.   Expert level Python/SQL   Strong communication and cross functional collaboration skills  Snowflake is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, color, gender identity or expression, marital status, national origin, disability, protected veteran status, race, religion, pregnancy, sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances."
141,Director of Data Science,Harnham,"San Francisco, CA, US",Be among the first 25 applicants,"Director of Data ScienceSan Francisco Bay Area, CA $200,000 - $250,000 + Competitive BenefitsThe CompanyCOMPANY: A leader in the entertainment and gaming space!TEAM: Lead a team of 7-9 data scientists and engineersCULTURE: Collaborative and inclusive environment with daily breakfast, lunch, and dinners provided!THE ROLEAs a Director of Data Science you will…Lead a team of 7-9 data scientists and engineersDrive the vision and strategy for the entire team and deliver high impact solutions using machine learningWork directly with leadership teams and stakeholdersBuild out end to end machine learning models and own the infrastructure Your Skills And Experience5+ years of full time experience in data science and analytics3+ years of experience in leadershipExperience deploying machine learning and statistical models into real world applicationsKnowledge of advanced machine learning techniques such as time series analysis, reinforcement learning, SVMs, etc.Experience in gaming, recommendation, or adtech is a huge plus!Tools: Python, Tensorflow, Hadoop, Pytorch, SQLThe BenefitsAs a Director of Data Science, you can expect a base salary between $200,000 to $250,000 (based on experience) plus competitive benefits.How To ApplyPlease register your interest by sending your CV to Kristianna Chung via the Apply link on this page"
142,"Data Scientist, Analytics",Quibi,"Los Angeles, CA, US",Be among the first 25 applicants,"What's Quibi?Launching next year, Quibi is the first entertainment platform that fits perfectly into any moment of your day. We’re on a mission to entertain, inform and inspire with fresh content from today’s top talent—one quick bite at a time. Founded by Jeffrey Katzenberg and Meg Whitman, Quibi brings together the best of Hollywood and Silicon Valley.Every day, we’re defining the next era of storytelling while reinventing what a start-up can look like. Our trailblazing team is laser focused on our core audience, producing awe-inspiring shows for an intuitive, mobile-first platform, and creating a culture where everyone is heard. Yes, it’s a tall order—and that’s what makes it so exciting. If you’re ready to roll up your sleeves and build something from the ground up, working here will never be just a job.SummaryQuibi is seeking an experienced data analyst for our centralized Data Science team. We are looking for someone who is an expert at turning large, complex data sets into simple, actionable insights.What You'll Do Define and track key business metrics; design reports and analyses to monitor and understand them  Perform deep-dive analyses leveraging advanced analytical techniques  Become the subject matter expert for data and analytics embedded within one or more of our business units (content, product, marketing, ads, finance) to ensure accurate and proper interpretation of core business metrics and consumer behavior  Clearly communicate insights and recommendations to key stakeholders What You'll Need 5+ years of experience in data analytics roles, preferably at content and/or subscription businesses  Experience with business intelligence and data visualization tools (Looker, Tableau)  Advanced working SQL knowledge and experience working with relational databases  Strong Python coding is a plus  Intellectual curiosity with an ability to turn analysis into actionable insights to guide decision making  Strong communication skills and the ability to present analysis, clearly and concisely, to senior executives and team members who may not have an analytics background  Ability to influence others across cross-functional teams  Both big picture strategic thinking and the ability to dig into the details  Entrepreneurial spirit of a self-starter who can work effectively autonomously  Adaptability and excitement to work in a growing and changing business environment Quibi provides reasonable accommodations to assist with the application process, and, if hired, to perform the essential functions of the job. Examples of reasonable accommodations include making a change to the application process, providing documents in alternate format, or using specialized equipment. Please contact Quibi if you require a reasonable accommodation to apply for a job with us.Quibi is an equal employment opportunity employer. Quibi does not discriminate against any applicant or employee based on race, color, religion, national origin, gender, age, sexual orientation, gender identity or expression, marital status, mental or physical disability, and genetic information, or any other basis protected by applicable law. Quibi also prohibits harassment of applicants or employees based on any of these protected categories."
143,Data Science Manager,Mozilla,"San Francisco, CA, US",51 applicants,"The RoleAt Mozilla, we want to protect the Internet as a global resource, open and accessible to all. We collect terabytes of data a day from millions of users to guide our decision-making. We could use your help.As a manager on the data science team, you will own a critical piece of the Mozilla organization. Data scientists work closely with our policy, legal, and business development teams to enable decisions and contribute insights that push our mission forward and in the right direction. They build models and design experiments that improve our understanding about the operation of our business and products to ensure that we are optimizing our decisions for maximum impact on the market. We are looking for an opinionated manager with technical chops who is excited to marshal a data science team to shape the future of the Web. You will manage a small team of data scientists and will be responsible for career mentorship and technical guidance. You will work with leadership to define and execute strategies that demonstrate the value of the data contributed by our users while maintaining an ethical set of principles to guide your practice.As a data science manager... You are comfortable steering a team of 2-7 data scientists to align with business priorities, legal and policy agendas, and Mozilla’s greater mission You pride yourself on your ability to communicate technical concepts to diverse audiences across Mozilla You define requirements for data scientists to other parts of the Mozilla organization You collaborate with cross-functional management to create new initiatives and refine existing processes that increase the impact of the data science team You possess a strategic mindset and find motivation in creatively solving problems You establish best practices for data science workflows and know how to create an environment and team culture that enables data scientists to perform at their best You have a strong desire to contribute to Mozilla’s mission through data science Your professional profile At least 2 years directly managing a team of data scientists. At least 5 years of industry experience in the data science profession. You have experience with a breadth of analytical methodologies and possess a solid foundation in numerous statistical techniques You also have experience with common data science technologies, namely SQL, Python, or R, as well as familiarity with conventional code and programming concepts You have strong communication skills; experience speaking at industry or academic conferences a plus You consider contributing to a collaborative and open team culture an important responsibility Feel Good About Your Work Again.At Mozilla, we’re serving humanity—by maintaining a safe, open internet—while also helping the individual humans employed here to reach their personal and professional goals. With a relatively small team serving hundreds of millions of people, a culture of exploration, and a commitment to mentorship, opportunities abound to learn and grow at Mozilla.Our values drive our actions Purpose is built into our work, with our mission driving every decision We challenge assumptions, the status quo, ourselves, and each other We are transparent: in our code, our business partnerships, and our everyday interactions  We seek out people from diverse backgrounds and with perspectives different from our own  We pair purpose with performance and put people ahead of profit Our impact is global 1000+ paid staff from over 30 countries Thousands of volunteer contributors across six continents 10 global offices: Beijing, Berlin, London, Paris, Mountain View, Portland, San Francisco, Taipei, Toronto and Vancouver Hundreds of home offices globally Our Benefits Are World-class Flexible work environment (nearly half of Mozillians work remotely) Industry-leading paid parental leave (up to 26 weeks of fully paid leave for childbearing parents and up to 12 weeks for non-childbearing parents) Reimbursement for professional development (up to $3,000/year) A work setup including the latest hardware and software of your choice Wellness programs—we reimburses up to $1700/year for expenses like child and elder care, mental wellness, and personal enrichment  About MozillaWe are an equal opportunity employer and value diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.A lot of companies say they’re “mission-driven.” Our unique corporate structure guarantees that every decision we make upholds our mission: to make sure the internet stays available, safe, and welcoming to everyone. Beholden to neither shareholders nor investors, Mozilla Corporation is wholly owned by the not-for-profit Mozilla Foundation.Along with 20,000+ volunteer contributors and collaborators all over the world, Mozilla Corporation’s staff designs, builds, and distributes software that allows people to enjoy the internet on their own terms. Our flagship product — the Firefox browser — has expanded into a family of products that protects users and alerts them of risks. Mozilla’s Emerging Technologies group incubated and sponsors Rust — Stack Overflow’s “most loved programming language” for the last four years — and is building safe, private versions of virtual reality, internet of things, and voice recognition.Group: D"
